Brucella+abortus%E2%80%99e%2C+B.+melitensis%E2%80%99e+v%C3%B5i+B.+suis%E2%80%99i+nakkus-et = preferredTerm-admn-sts
Donbass-et = preferredTerm-admn-sts
Euroopa+%C3%9Chenduste+Komisjon-et = supersededTerm-admn-sts
Euroopa+%C3%BChenduste+integreeritud+tariifistik-et = preferredTerm-admn-sts
Euroopa+p%C3%A4ritolu+krediidiriski+vahetustehingud-et = deprecatedTerm-admn-sts
Euroopa+teadusruumi+komitee-et = supersededTerm-admn-sts
S-re%C5%BEiimi+mitmiklukustuse+protokolls%C3%B5num-et = preferredTerm-admn-sts
ajaloolised+sisemised+kahjuandmed-et = preferredTerm-admn-sts
ajutine+%C3%BChtse+kriisilahenduskorra+t%C3%B6%C3%B6r%C3%BChm-et = supersededTerm-admn-sts
alusplaanimine-et = preferredTerm-admn-sts
annus-et = preferredTerm-admn-sts
direktoraat+1+%E2%80%93+WTO%2C+kaubandussuhted%2C+areng%2C+AKV-et = supersededTerm-admn-sts
eemaldatud+nahat%C3%BCkk-et = preferredTerm-admn-sts
f%C3%BCsioloogiline+keedusoolalahus-et = deprecatedTerm-admn-sts
feetus-et = deprecatedTerm-admn-sts
finantsinstrumentide+tehingut+tegema-et = deprecatedTerm-admn-sts
finantsvastutus-et = supersededTerm-admn-sts
geneetiline+n%C3%A4itaja-et = preferredTerm-admn-sts
hepariniseeritud+t%C3%A4isveri-et = deprecatedTerm-admn-sts
hilistoimega+neurotoksiline+aine-et = preferredTerm-admn-sts
imendumine-et = admittedTerm-admn-sts
imetajate+in+vivo+kromosoomaberratsioonkatse-et = deprecatedTerm-admn-sts
inimese+loote+t%C3%BCvirakk-et = preferredTerm-admn-sts
inimkaubanduse+vastu+v%C3%B5itlemine-et = preferredTerm-admn-sts
j%C3%A4litusteabel+p%C3%B5hinev+politseit%C3%B6%C3%B6-et = deprecatedTerm-admn-sts
k%C3%BCberkriminalistika-et = preferredTerm-admn-sts
karantiinirajatis-et = preferredTerm-admn-sts
katioonne+v%C3%A4rv-et = deprecatedTerm-admn-sts
keskaju-et = preferredTerm-admn-sts
keskse+koormusjaotamisega+mudel-et = deprecatedTerm-admn-sts
kohaliku+koormusjaotamisega+mudel-et = deprecatedTerm-admn-sts
korrelatsioonil+p%C3%B5hinev+kauplemisportfell-et = preferredTerm-admn-sts
krediidiriski+kaitse+pakkuja-et = deprecatedTerm-admn-sts
laboriv%C3%A4line+uuring-et = admittedTerm-admn-sts
limaskest-et = preferredTerm-admn-sts
luumen-et = admittedTerm-admn-sts
luureandmed+avalikust+allikast-et = preferredTerm-admn-sts
m%C3%A4%C3%A4rdes%C3%BCsteem-et = deprecatedTerm-admn-sts
maksej%C3%B5uetuse+statistiline+prognoosimudel-et = deprecatedTerm-admn-sts
n%C3%B5ukogu+%28haridus%2C+noored+ja+kultuur%29-et = supersededTerm-admn-sts
naha+allergiline+sensibiliseerimine-et = deprecatedTerm-admn-sts
nahale+m%C3%A4%C3%A4rimine-et = admittedTerm-admn-sts
nitrosoamiin-et = preferredTerm-admn-sts
otsaju-et = admittedTerm-admn-sts
p%C3%B5genik-et = admittedTerm-admn-sts
p%C3%B5hisagedus-et = preferredTerm-admn-sts
p%C3%B5histatud+m%C3%A4%C3%A4rus-et = preferredTerm-admn-sts
pea%C3%BClekande+%C3%BClekandearv-et = preferredTerm-admn-sts
platseeboravi-et = admittedTerm-admn-sts
ravile+mittealluv-et = preferredTerm-admn-sts
rinna%C3%B5%C3%B5s-et = admittedTerm-admn-sts
romi-et = deprecatedTerm-admn-sts
s%C3%B5ltuvus+kontsentratsioonist-et = deprecatedTerm-admn-sts
s%C3%BCnnieelset+arengutoksilisust+k%C3%A4sitlev+katse-et = deprecatedTerm-admn-sts
silma+s%C3%B6%C3%B6vitus-et = preferredTerm-admn-sts
soolesulgus-et = preferredTerm-admn-sts
stabiilsuse+ja+kasvu+pakt-et = preferredTerm-admn-sts
stratum+basale-et = admittedTerm-admn-sts
t%C3%A4iendavatesse+esimese+taseme+omavahenditesse+kuuluv+instrument-et = preferredTerm-admn-sts
tegevuskava-et = preferredTerm-admn-sts
teise+v%C3%B5imaluse+haridus-et = preferredTerm-admn-sts
ts%C3%BCtokroom+P450+monooks%C3%BCgenaaskompleks-et = deprecatedTerm-admn-sts
tuletistehing-et = preferredTerm-admn-sts
turu+usaldusv%C3%A4%C3%A4rsus-et = preferredTerm-admn-sts
tuvastav+ametiasutus-et = deprecatedTerm-admn-sts
ulcus-et = admittedTerm-admn-sts
v%C3%A4%C3%A4rad+v%C3%B5i+eksitavad+teated-et = supersededTerm-admn-sts
v%C3%A4%C3%A4rtpaberistamise+eriotstarbeline+ettev%C3%B5te-et = deprecatedTerm-admn-sts
v%C3%A4ljakujunenud+tegevussuhe-et = preferredTerm-admn-sts
vasts%C3%BCndinu+haigestumus-et = deprecatedTerm-admn-sts
vesica+urinaria-et = admittedTerm-admn-sts
Freundi+t%C3%A4ielik+abiaine-et = deprecatedTerm-admn-sts
kliinilises+uuringus+osaleja-et = preferredTerm-admn-sts
olemasolevate+katseandmete+sh+j%C3%A4rjestikuste+katsete+tegemise+strateegia+p%C3%B5hjal+saadud+tulemuste+osakaalu-et = deprecatedTerm-admn-sts
%C3%A4riliin-et = preferredTerm-admn-sts
%C3%BCldsaatega+automaatne+s%C3%B5ltuv+seire-et = preferredTerm-admn-sts
%C3%BClem%C3%A4%C3%A4rase+puuduj%C3%A4%C3%A4gi+parandamine-et = deprecatedTerm-admn-sts
%C3%BClemaailmne+terrorismivastase+v%C3%B5itluse+foorum-et = preferredTerm-admn-sts
CO2-heide-et = admittedTerm-admn-sts
DNA-fragment-et = admittedTerm-admn-sts
Euroopa+%C3%9Chenduse+asutamisleping-et = supersededTerm-admn-sts
Siseturu+%C3%9Chtlustamise+Amet+%28kaubam%C3%A4rgid+ja+t%C3%B6%C3%B6stusdisainilahendused%29-et = supersededTerm-admn-sts
ajutine+justiits-+ja+sisek%C3%BCsimuste+v%C3%A4lisaspektide+toetusr%C3%BChm-et = supersededTerm-admn-sts
anomaalia-et = admittedTerm-admn-sts
antibiootikumiprof%C3%BClaktika-et = supersededTerm-admn-sts
antimikroobikumide+m%C3%B5istlik+kasutamine-et = preferredTerm-admn-sts
antimikroobikumprof%C3%BClaktika-et = preferredTerm-admn-sts
antimikroobne+spekter-et = admittedTerm-admn-sts
auto%C5%BEiiro-et = preferredTerm-admn-sts
automaatjuhtimiss%C3%BCsteem-et = preferredTerm-admn-sts
cauda+epididymides-et = admittedTerm-admn-sts
cortex+cerebri-et = admittedTerm-admn-sts
digip%C3%A4devus-et = preferredTerm-admn-sts
e-mestimine-et = deprecatedTerm-admn-sts
ebat%C3%B5en%C3%A4oliselt+laekuvate+n%C3%B5uete+allahindlus-et = preferredTerm-admn-sts
eelvarustus-et = deprecatedTerm-admn-sts
efektiivne+oodatav+positiivne+riskipositsioon-et = deprecatedTerm-admn-sts
elektromobiilsus-et = preferredTerm-admn-sts
ettekanne+%C3%B5hus%C3%B5idukilt-et = admittedTerm-admn-sts
euror%C3%BChm-et = preferredTerm-admn-sts
fotoelektriline+element-et = preferredTerm-admn-sts
funktsionaalne+t%C3%B5ke-et = admittedTerm-admn-sts
h%C3%BCpotooniline+t%C3%B6%C3%B6tlemine-et = preferredTerm-admn-sts
hilistoksilisus-et = preferredTerm-admn-sts
isikusamasus-et = preferredTerm-admn-sts
k%C3%BChmlaup-hammasahven-et = preferredTerm-admn-sts
kaksikioon-et = admittedTerm-admn-sts
kaliibrimisk%C3%B5ver-et = preferredTerm-admn-sts
keharakkude+mutageen-et = admittedTerm-admn-sts
keskandmekogu-et = supersededTerm-admn-sts
kollat%C3%A4hn-et = preferredTerm-admn-sts
kombineeritud+vedu-et = preferredTerm-admn-sts
kontsessioonileping-et = preferredTerm-admn-sts
krediidiriski+omavahendite+n%C3%B5ue-et = preferredTerm-admn-sts
ksenobiootikum-et = admittedTerm-admn-sts
l%C3%B5ugutamata+puuvill-et = preferredTerm-admn-sts
lahingu%C3%BCksus-et = deprecatedTerm-admn-sts
laiaulatuslik+majandus-+ja+kaubandusleping-et = preferredTerm-admn-sts
laienemise+t%C3%B6%C3%B6r%C3%BChm-et = supersededTerm-admn-sts
lihts%C3%B6%C3%B6de-et = admittedTerm-admn-sts
lindude+gripp-et = preferredTerm-admn-sts
maksutasumise+tagatis-et = preferredTerm-admn-sts
massih%C3%A4vitusrelvade+leviku+t%C3%B5kestamise+valdkonnaga+tegelevate+s%C3%B5ltumatute+m%C3%B5ttekodade+Euroopa+v%C3%B5rgustik-et = supersededTerm-admn-sts
mineralokortikoid-et = preferredTerm-admn-sts
mittereageerimine-et = deprecatedTerm-admn-sts
muna-et = supersededTerm-admn-sts
munandimanus-et = preferredTerm-admn-sts
n%C3%A4gemisteravuse+langus-et = preferredTerm-admn-sts
naiste+staatuse+komisjon-et = preferredTerm-admn-sts
negatiivne+kontrollproov-et = admittedTerm-admn-sts
p%C3%B5rkepruss-et = preferredTerm-admn-sts
panustamise+ja+jagamise+tegevusjuhend-et = preferredTerm-admn-sts
pneumokokivaktsiin-et = admittedTerm-admn-sts
promootor-et = admittedTerm-admn-sts
r%C3%BCtmih%C3%A4ire-et = preferredTerm-admn-sts
reageerimatus-et = admittedTerm-admn-sts
reaktsiooni+puudumine-et = preferredTerm-admn-sts
reguleerimisenergia+vahetamine-et = deprecatedTerm-admn-sts
reisilennuk%C3%B5rgus-et = deprecatedTerm-admn-sts
replikatsioon-et = deprecatedTerm-admn-sts
riigi+sees+%C3%BCmberasustatud+isik-et = deprecatedTerm-admn-sts
ringluspakend-et = deprecatedTerm-admn-sts
rumpel-et = preferredTerm-admn-sts
s%C3%BCmmeetriline+kohandusmehhanism-et = supersededTerm-admn-sts
samalaadse+struktuuriga+kemikaal-et = admittedTerm-admn-sts
seadusliku+aluseta+riigis+viibimine-et = preferredTerm-admn-sts
sissen%C3%B5udmata+esmased+omavahendid-et = deprecatedTerm-admn-sts
soja+hemitselluloos-et = preferredTerm-admn-sts
stressi+olukord-et = preferredTerm-admn-sts
stsintillatsioonivedelik-et = preferredTerm-admn-sts
tagasisaatmise+korraldus-et = supersededTerm-admn-sts
tagatud+laenukohustus-et = supersededTerm-admn-sts
tasaarveldatud+tehing-et = deprecatedTerm-admn-sts
terroriakt-et = preferredTerm-admn-sts
tervise-%2C+keskkonnast+tulenevate+ja+uute+riskide+teaduskomitee-et = deprecatedTerm-admn-sts
toitumisalase+teabe+m%C3%A4rgistus-et = preferredTerm-admn-sts
transiidiprotseduur-et = preferredTerm-admn-sts
triivnakkev%C3%B5rk-et = preferredTerm-admn-sts
turse-et = preferredTerm-admn-sts
v%C3%B5imsustegur-et = deprecatedTerm-admn-sts
v%C3%B5ltsitud+pangat%C3%A4ht-et = preferredTerm-admn-sts
valitsetav+fond-et = preferredTerm-admn-sts
veiste+nakkav+rinotrahheiit-et = deprecatedTerm-admn-sts
%C3%BClem%C3%A4%C3%A4rane+riigieelarve+puuduj%C3%A4%C3%A4k-et = deprecatedTerm-admn-sts
Araabia+Liiga-et = admittedTerm-admn-sts
European+Collection+of+Cell+Cultures-et = preferredTerm-admn-sts
GMES-et = supersededTerm-admn-sts
aktiivne+keerispidurdus-et = preferredTerm-admn-sts
antimikroobsete+ainete+tarbimise+%C3%BCleeuroopaline+j%C3%A4relevalve-et = supersededTerm-admn-sts
artikli+133+komitee-et = supersededTerm-admn-sts
bilansivastutus-et = preferredTerm-admn-sts
deflagratsioon-et = preferredTerm-admn-sts
direktoraat+2+%E2%80%93+%C3%B5igusalane+koost%C3%B6%C3%B6+tsiviil-+ja+kriminaalasjades+ning+politsei-+ja+tollik%C3%BCsimustes-et = supersededTerm-admn-sts
e-arve-et = preferredTerm-admn-sts
ennetava+t%C3%B6%C3%B6tervishoiu+ja+t%C3%B6%C3%B6ohutuse+%C3%BCksus-et = supersededTerm-admn-sts
er%C3%BCtrots%C3%BC%C3%BCtide+fotohemol%C3%BC%C3%BCsi+test-et = preferredTerm-admn-sts
fikseerimisvahend-et = preferredTerm-admn-sts
funktsionaalne+puuduj%C3%A4%C3%A4k-et = deprecatedTerm-admn-sts
gonaadide+funktsioon-et = supersededTerm-admn-sts
h%C3%BCpof%C3%BC%C3%BCs-et = preferredTerm-admn-sts
h%C3%BCpoksantiini+fosforibos%C3%BC%C3%BCltransferaas-et = deprecatedTerm-admn-sts
histopatoloogiline+uuring-et = admittedTerm-admn-sts
