%C5%A1%C4%B7%C4%ABvjot%C4%81+kolonna-lv = deprecatedTerm-admn-sts
neregul%C4%93ta+finan%C5%A1u+sektora+sabiedr%C4%ABba-lv = preferredTerm-admn-sts
operat%C4%ABv%C4%81+iniciat%C4%ABva-lv = supersededTerm-admn-sts
p%C4%81rvades+sist%C4%93mu+operatoru+savstarp%C4%93js+kompens%C4%81cijas+meh%C4%81nisms-lv = preferredTerm-admn-sts
pirm%C5%A1%C4%B7ietam%C4%ABbas+lieta-lv = preferredTerm-admn-sts
polihlor%C4%93tais+dibenzofur%C4%81ns-lv = deprecatedTerm-admn-sts
priek%C5%A1kambaru+fibril%C4%81cija-lv = preferredTerm-admn-sts
re%C4%A3ion%C4%81la+konsultat%C4%ABv%C4%81+padome-lv = supersededTerm-admn-sts
taktiskie+p%C4%81rvad%C4%81jumi-lv = preferredTerm-admn-sts
tur%C4%93%C5%A1ana+apsardz%C4%ABb%C4%81-lv = deprecatedTerm-admn-sts
%28riepas%29+dinamiskais+rites+r%C4%81diuss-lv = preferredTerm-admn-sts
Al-Nusrah+Front-lv = supersededTerm-admn-sts
Barselonas+process-lv = deprecatedTerm-admn-sts
CLIM+%C4%A2D-lv = supersededTerm-admn-sts
ES+Strat%C4%93%C4%A3ija+VIKI+un+to+mun%C4%ABcijas+nelikum%C4%ABgas+uzkr%C4%81%C5%A1anas+un+tirdzniec%C4%ABbas+apkaro%C5%A1anai-lv = preferredTerm-admn-sts
Eiropas+l%C4%ABme%C5%86a+politiskais+fonds-lv = supersededTerm-admn-sts
Kopienas+Zivsaimniec%C4%ABbas+kontroles+a%C4%A3ent%C5%ABra-lv = supersededTerm-admn-sts
Kopienas+meh%C4%81nisms+pastiprin%C4%81tas+sadarb%C4%ABbas+veicin%C4%81%C5%A1anai+civil%C4%81s+aizsardz%C4%ABbas+pal%C4%ABdz%C4%ABbas+interven%C4%8Du+jom%C4%81-lv = supersededTerm-admn-sts
atk%C4%81rtoti+uzliesomojo%C5%A1a+p%C4%81rn%C4%93s%C4%81jama+slim%C4%ABba-lv = preferredTerm-admn-sts
att%C4%93lu+uz%C5%86%C4%93m%C4%93jiek%C4%81rta-lv = preferredTerm-admn-sts
aug%C5%A1anas+inhib%C4%ABcijas+tests-lv = preferredTerm-admn-sts
bunkuru+e%C4%BC%C4%BCa-lv = deprecatedTerm-admn-sts
hemocitometrs-lv = preferredTerm-admn-sts
iece%C4%BCo%C5%A1anas+aizliegums-lv = preferredTerm-admn-sts
izpl%C5%ABdes+p%C4%93capstr%C4%81des+sist%C4%93ma-lv = preferredTerm-admn-sts
kombin%C4%93t%C4%81s+jaunieviest%C4%81s+terapijas+z%C4%81les-lv = preferredTerm-admn-sts
kontango-lv = deprecatedTerm-admn-sts
l%C4%ABdzsvarojo%C5%A1a+pirc%C4%93ja+vara-lv = preferredTerm-admn-sts
lietu+internets-lv = preferredTerm-admn-sts
median%C4%81lais+vecums-lv = preferredTerm-admn-sts
musku%C4%BCu+konvulsiju+izrais%C4%ABti+ie%C5%A1anas+trauc%C4%93jumi-lv = deprecatedTerm-admn-sts
nepersondati-lv = preferredTerm-admn-sts
normat%C4%ABvais+m%C5%AB%C5%BEs-lv = preferredTerm-admn-sts
sp%C4%93ku+form%C4%93%C5%A1ana-lv = preferredTerm-admn-sts
strat%C4%93%C4%A3iskie+aviop%C4%81rvad%C4%81jumi-lv = preferredTerm-admn-sts
t%C4%93mturis-lv = preferredTerm-admn-sts
taustums-lv = preferredTerm-admn-sts
telesakari-lv = preferredTerm-admn-sts
ties%C4%ABbu+subjekts-lv = preferredTerm-admn-sts
ununkvadijs-lv = supersededTerm-admn-sts
za%C4%BCin%C4%81%C5%A1ana-lv = preferredTerm-admn-sts
%C4%81rlaul%C4%ABbas+sakars-lv = admittedTerm-admn-sts
4.+direktor%C4%81ts+-+Institucion%C4%81li+jaut%C4%81jumi%2C+bud%C5%BEets%2C+Civildienesta+noteikumi-lv = supersededTerm-admn-sts
Ar+Eiropas+Tehnolo%C4%A3iju+instit%C5%ABtu+%28ETI%29+saist%C4%ABtu+jaut%C4%81jumu+ad+hoc+darba+grupa-lv = supersededTerm-admn-sts
Deklar%C4%81cija+par+pirmiedz%C4%ABvot%C4%81ju+tautu+ties%C4%ABb%C4%81m-lv = preferredTerm-admn-sts
ES+De%C5%BE%C5%ABrcentrs-lv = preferredTerm-admn-sts
ES+ekonomikas+un+monet%C4%81ro+lietu+komis%C4%81rs-lv = supersededTerm-admn-sts
ES+konsult%C4%81ciju+un+pal%C4%ABdz%C4%ABbas+grupa+dro%C5%A1%C4%ABbas+sektora+reformai-lv = supersededTerm-admn-sts
Eiropas+Vilto%C5%A1anas+un+pir%C4%81tisma+nov%C4%93ro%C5%A1anas+centrs-lv = supersededTerm-admn-sts
Iest%C4%81%C5%BEu+nol%C4%ABgums+par+lab%C4%81ku+regul%C4%93jumu-lv = supersededTerm-admn-sts
Kopienas+finan%C5%A1u+instruments-lv = supersededTerm-admn-sts
Pel%C4%81%C4%A3isko+zivju+kr%C4%81jumu+re%C4%A3ion%C4%81l%C4%81+konsultat%C4%ABv%C4%81+padome-lv = supersededTerm-admn-sts
aug%C5%A1%C4%93j%C4%81s+izlaides+atveres+g%C4%81ze-lv = deprecatedTerm-admn-sts
bremz%C4%93%C5%A1anas+sp%C4%93ku+regulators-lv = preferredTerm-admn-sts
energoapg%C4%81des+pakalpojumu+uz%C5%86%C4%93mums-lv = deprecatedTerm-admn-sts
etnisk%C4%81+pieder%C4%ABba-lv = preferredTerm-admn-sts
feder%C4%81l%C4%81+zeme-lv = preferredTerm-admn-sts
g%C4%81zes+PSOET-lv = deprecatedTerm-admn-sts
juvenilais+idiop%C4%81tiskais+artr%C4%ABts-lv = preferredTerm-admn-sts
koksa+kr%C4%81%C5%A1%C5%86u+baterija-lv = preferredTerm-admn-sts
kopuz%C5%86%C4%93mums+SESAR-lv = preferredTerm-admn-sts
neleg%C4%81la+migr%C4%81cija-lv = deprecatedTerm-admn-sts
radi%C4%81l%C4%81+riepa-lv = preferredTerm-admn-sts
salikts+transform%C4%81cijas+notikums-lv = preferredTerm-admn-sts
ties%C4%ABbas+st%C4%81ties+laul%C4%ABb%C4%81-lv = preferredTerm-admn-sts
tro%C5%A1u+dzelzce%C4%BC%C5%A1-lv = preferredTerm-admn-sts
virzo%C5%A1ais+dzin%C4%93js-lv = deprecatedTerm-admn-sts
%25+%28masas%29-lv = preferredTerm-admn-sts
%CE%B12+agonists-lv = preferredTerm-admn-sts
%CE%BA+opio%C4%ABdu+receptoru+agonists-lv = preferredTerm-admn-sts
2.+direktor%C4%81ts+-+Lauksaimniec%C4%ABbas+strukt%C5%ABras%2C+lauku+att%C4%ABst%C4%ABba%2C+ar+lauksaimniec%C4%ABbu+saist%C4%ABti+monet%C4%81ri+un+finan%C5%A1u+jaut%C4%81jumi%2C+augu+vesel%C4%ABba%2C+organiski+produkti%2C+p%C4%81rtikas+kvalit%C4%81te%2C+%C4%A2MO%2C+P%C4%81rtikas+kodekss%2C+augu+aizsardz%C4%ABba-lv = supersededTerm-admn-sts
Augsta+l%C4%ABme%C5%86a+darba+grupa+nodok%C4%BCu+jaut%C4%81jumos-lv = admittedTerm-admn-sts
Augstais+p%C4%81rst%C4%81vis+kop%C4%93j%C4%81s+%C4%81rpolitikas+un+dro%C5%A1%C4%ABbas+politikas+jom%C4%81-lv = supersededTerm-admn-sts
EIB+Darbinieku+p%C4%81rst%C4%81vju+kol%C4%93%C4%A3ija-lv = preferredTerm-admn-sts
ES+acquis-lv = admittedTerm-admn-sts
EUSC-lv = supersededTerm-admn-sts
Eiropas+Migr%C4%81cijas+nov%C4%93ro%C5%A1anas+centrs-lv = supersededTerm-admn-sts
Eiropas+Savien%C4%ABbas+Koordin%C4%81cijas+birojs+palest%C4%ABnie%C5%A1u+policijas+atbalstam-lv = supersededTerm-admn-sts
Padomes+direkt%C4%ABva+par+da%C5%BEu+t%C4%81du+telev%C4%ABzijas+raid%C4%ABjumu+veido%C5%A1anas+un+apraides+noteikumu+koordin%C4%93%C5%A1anu%2C+kas+ietverti+dal%C4%ABbvalstu+normat%C4%ABvajos+un+administrat%C4%ABvajos+aktos-lv = supersededTerm-admn-sts
Pievieno%C5%A1an%C4%81s+l%C4%ABguma+izstr%C4%81des+ad+hoc+darba+grupa-lv = supersededTerm-admn-sts
Starptautiskais+Epizootiju+birojs-lv = supersededTerm-admn-sts
aisberga+r%C4%ABkojums-lv = deprecatedTerm-admn-sts
atpaka%C4%BCnos%C5%ABt%C4%ABtas+preces-lv = preferredTerm-admn-sts
atpaka%C4%BCuz%C5%86em%C5%A1anas+nol%C4%ABgums-lv = preferredTerm-admn-sts
att%C4%ABst%C4%ABt%C4%81s+m%C4%93r%C4%AB%C5%A1anas+pieeja-lv = preferredTerm-admn-sts
avi%C4%81cijas+dro%C5%A1ums-lv = preferredTerm-admn-sts
dar%C4%ABjumu+konts-lv = preferredTerm-admn-sts
darba+attiec%C4%ABbas-lv = deprecatedTerm-admn-sts
iece%C4%BCo%C5%A1anas+atteikums-lv = preferredTerm-admn-sts
kortiko%C4%ABds-lv = preferredTerm-admn-sts
l%C4%ABnijas+mar%C4%B7%C4%93jums-lv = preferredTerm-admn-sts
likum%C4%ABga+uztur%C4%93%C5%A1an%C4%81s-lv = preferredTerm-admn-sts
nacion%C4%81l%C4%81+tipa+apstiprin%C4%81%C5%A1ana-lv = preferredTerm-admn-sts
piespiedu+izpildes+pas%C4%81kumi-lv = preferredTerm-admn-sts
str%C4%ABdu+alternat%C4%ABva+iz%C5%A1%C4%B7ir%C5%A1ana-lv = preferredTerm-admn-sts
tiesas+pal%C4%81ta-lv = supersededTerm-admn-sts
vid%C4%93jais+vecums-lv = deprecatedTerm-admn-sts
vienot%C4%81+strat%C4%93%C4%A3isk%C4%81+satvara+fondi-lv = supersededTerm-admn-sts
visp%C4%81r%C4%93ji+harmoniz%C4%93tais+vieglo+transportl%C4%ABdzek%C4%BCu+testa+cikls-lv = preferredTerm-admn-sts
B%C4%93g%C4%BCu+atbalsta+meh%C4%81nisms+Turcijai-lv = supersededTerm-admn-sts
CREST-lv = supersededTerm-admn-sts
ES+%C4%ABpa%C5%A1ais+p%C4%81rst%C4%81vis+Sud%C4%81n%C4%81-lv = supersededTerm-admn-sts
Eiropas+Tiesisk%C4%81s+sadarb%C4%ABbas+t%C4%ABkla+jaut%C4%81jumu+darba+grupa-lv = supersededTerm-admn-sts
Ener%C4%A3%C4%93tikas+politikas+%28ar%C4%AB+starptautisko+aspektu+un+kodolener%C4%A3ijas+jaut%C4%81jumu%29+noda%C4%BCa-lv = supersededTerm-admn-sts
Finan%C5%A1u+pakalpojumu+darba+grupa+%28Maks%C4%81jumu+pakalpojumi%29-lv = supersededTerm-admn-sts
InnovFin+konsult%C4%81ciju+pakalpojumi-lv = preferredTerm-admn-sts
Kopienas+patents-lv = supersededTerm-admn-sts
Minorit%C4%81%C5%A1u+aizsardz%C4%ABbas+un+diskrimin%C4%81cijas+nov%C4%93r%C5%A1anas+apak%C5%A1komisija-lv = supersededTerm-admn-sts
Muitas+rev%C4%ABzijas+rokasgr%C4%81mata-lv = deprecatedTerm-admn-sts
Re%C4%A3ionu+politikas+%C4%A2D-lv = supersededTerm-admn-sts
SJO-lv = preferredTerm-admn-sts
Savien%C4%ABbas+trasta+fonds+%C4%81r%C4%93j%C4%81m+darb%C4%ABb%C4%81m-lv = preferredTerm-admn-sts
aizj%C5%ABras+teritorija-lv = supersededTerm-admn-sts
bezvalstnieks-lv = preferredTerm-admn-sts
br%C4%81%C4%BCi+vai+m%C4%81sas-lv = deprecatedTerm-admn-sts
brauc%C4%93ju+av%C4%81rijdro%C5%A1%C4%ABbas+sist%C4%93ma-lv = admittedTerm-admn-sts
dar%C4%ABjuma+attiec%C4%ABbas-lv = preferredTerm-admn-sts
iepl%C5%ABdes+retin%C4%81jums-lv = preferredTerm-admn-sts
ilgtermi%C5%86a+uztur%C4%93%C5%A1an%C4%81s-lv = preferredTerm-admn-sts
jaudas+pie%C5%A1%C4%B7ir%C5%A1ana-lv = preferredTerm-admn-sts
kontaktgrupa+sadarb%C4%ABbai+ar+kaimi%C5%86valst%C4%ABm+Eiropas+austrumos-lv = supersededTerm-admn-sts
korporat%C4%ABv%C4%81s+atbild%C4%ABbas+zi%C5%86ojums-lv = deprecatedTerm-admn-sts
lidostas+tranz%C4%ABtv%C4%ABza-lv = preferredTerm-admn-sts
melnspuru+lutj%C4%81nzivs-lv = preferredTerm-admn-sts
mitekli+apstiprino%C5%A1i+dokumenti-lv = admittedTerm-admn-sts
multipl%C4%81+skleroze-lv = preferredTerm-admn-sts
nep%C4%81rn%C4%93s%C4%81jama+slim%C4%ABba-lv = preferredTerm-admn-sts
piespiedu+izraid%C4%AB%C5%A1ana-lv = preferredTerm-admn-sts
priek%C5%A1kambaru+mirdz%C4%93%C5%A1ana-lv = preferredTerm-admn-sts
soci%C4%81l%C4%81+t%C4%ABklo%C5%A1an%C4%81s-lv = preferredTerm-admn-sts
speci%C4%81l%C4%81s+aiz%C5%86%C4%93muma+ties%C4%ABbas-lv = preferredTerm-admn-sts
v%C4%ABrie%C5%A1u+un+sievie%C5%A1u+darba+samaksas+at%C5%A1%C4%B7ir%C4%ABba-lv = preferredTerm-admn-sts
%C4%81rlaul%C4%ABbas+b%C4%93rns-lv = supersededTerm-admn-sts
AKUI-lv = preferredTerm-admn-sts
ES+Izl%C5%ABkdatu+anal%C4%ABzes+centrs-lv = supersededTerm-admn-sts
Eiropas+Dro%C5%A1%C4%ABbas+un+aizsardz%C4%ABbas+akad%C4%93mija-lv = supersededTerm-admn-sts
Eiropas+Ekonomikas+kopienas+dibin%C4%81%C5%A1anas+l%C4%ABgums-lv = supersededTerm-admn-sts
Eiropas+Kopienu+Tiesa-lv = supersededTerm-admn-sts
Eiropas+Patv%C4%93ruma+lietu+atbalsta+birojs-lv = supersededTerm-admn-sts
Eiropas+standartiz%C4%81cijas+iest%C4%81de-lv = supersededTerm-admn-sts
Finan%C5%A1u+pakalpojumu+darba+grupa+%28Ieg%C4%81de%29-lv = supersededTerm-admn-sts
Kopienas+V%C4%ABzu+kodekss-lv = supersededTerm-admn-sts
Kult%C5%ABras%2C+izgl%C4%ABt%C4%ABbas+un+p%C4%93tniec%C4%ABbas+komisija-lv = supersededTerm-admn-sts
akt%C4%ABv%C4%81+ogle-lv = preferredTerm-admn-sts
arodpensijas+kapit%C4%81la+uzkr%C4%81%C5%A1anas+instit%C5%ABcija-lv = preferredTerm-admn-sts
eirol%C4%93mums-lv = supersededTerm-admn-sts
ekolo%C4%A3iz%C4%81cija-lv = deprecatedTerm-admn-sts
energotaup%C4%ABba-lv = preferredTerm-admn-sts
grupa+%22S%C4%81rzeme-Lotringa-Luksemburga%22-lv = deprecatedTerm-admn-sts
iece%C4%BCo%C5%A1anas+valst%C4%AB+nosac%C4%ABjumi-lv = preferredTerm-admn-sts
ieguld%C4%ABjumu+fondu+apliec%C4%ABbas-lv = preferredTerm-admn-sts
kartes+interfeisa+ier%C4%ABce-lv = deprecatedTerm-admn-sts
ko%C4%A3ener%C4%81cijas+stacija-lv = preferredTerm-admn-sts
mazoglek%C4%BCa+energotehnolo%C4%A3ija-lv = preferredTerm-admn-sts
oglek%C4%BCies%C4%ABkste-lv = preferredTerm-admn-sts
parastais+izties%C4%81%C5%A1anas+sast%C4%81vs-lv = supersededTerm-admn-sts
regul%C4%93t%C4%81+tirg%C5%AB+netirgots+%C4%81rvalstu+val%C5%ABtas+kursa+n%C4%81kotnes+dar%C4%ABjums-lv = preferredTerm-admn-sts
sklerodermija-lv = preferredTerm-admn-sts
starpmaks%C4%81jums-lv = deprecatedTerm-admn-sts
zirgu+herpesv%C4%ABrusa+infekcija-lv = admittedTerm-admn-sts
%C4%81rzemju+zin%C4%81tnieks-lv = preferredTerm-admn-sts
%C4%81rzemnieks%2C+kuram+pie%C5%A1%C4%B7irta+alternat%C4%ABv%C4%81+aizsardz%C4%ABba-lv = preferredTerm-admn-sts
%C5%ABdens+temperat%C5%ABras+dev%C4%93js-lv = admittedTerm-admn-sts
1.+direktor%C4%81ts+-+Lauksaimniec%C4%ABba+%28SCA+-+%C4%AApa%C5%A1%C4%81+lauksaimniec%C4%ABbas+komiteja%29-lv = supersededTerm-admn-sts
Ar+%C4%A3imenes+liet%C4%81m+saist%C4%ABtu+organiz%C4%81ciju+konfeder%C4%81cija+Eiropas+Savien%C4%ABb%C4%81-lv = supersededTerm-admn-sts
Dienvidaustrumeiropas+Stabilit%C4%81tes+pakts-lv = supersededTerm-admn-sts
ELVGF%2C+Virz%C4%ABbas+noda%C4%BCa-lv = supersededTerm-admn-sts
ESTAP-lv = supersededTerm-admn-sts
Eiropas+Kopuz%C5%86%C4%93mums+ITER+un+kodolsint%C4%93zes+ener%C4%A3%C4%93tikas+att%C4%ABst%C4%ABbas+vajadz%C4%ABb%C4%81m-lv = deprecatedTerm-admn-sts
ISPA-lv = supersededTerm-admn-sts
apgriezt%C4%81+iekas%C4%93%C5%A1anas+proced%C5%ABra-lv = deprecatedTerm-admn-sts
apr%C4%93%C4%B7ina+adopcija-lv = admittedTerm-admn-sts
at%C4%BCauja+iece%C4%BCot+valst%C4%AB-lv = preferredTerm-admn-sts
brauc%C4%93ju+dro%C5%A1%C4%ABbas+sist%C4%93ma-lv = preferredTerm-admn-sts
datu+aizsardz%C4%ABbas+speci%C4%81lists-lv = preferredTerm-admn-sts
datu+teritori%C4%81la+ierobe%C5%BEo%C5%A1ana-lv = preferredTerm-admn-sts
gliemji-lv = preferredTerm-admn-sts
hipotens%C4%ABvs+l%C4%ABdzeklis-lv = preferredTerm-admn-sts
neatbilst%C4%ABgs+imigrants-lv = preferredTerm-admn-sts
noziedz%C4%ABgi+ieg%C5%ABtu+l%C4%ABdzek%C4%BCu+legaliz%C4%81cija-lv = admittedTerm-admn-sts
reglament%C4%93jo%C5%A1a+atbilst%C4%ABbas+uzraudz%C4%ABba-lv = deprecatedTerm-admn-sts
sajauk%C5%A1ana-lv = admittedTerm-admn-sts
sarunu+pakete-lv = deprecatedTerm-admn-sts
zirgu+virus%C4%81l%C4%81+arter%C4%ABta+infekcija-lv = preferredTerm-admn-sts
%C4%81rzemnieks-lv = preferredTerm-admn-sts
Bonamia+ostreae+infekcija-lv = preferredTerm-admn-sts
ELVGF%2C+Garantiju+noda%C4%BCa-lv = supersededTerm-admn-sts
ES+valstspieder%C4%ABgais-lv = admittedTerm-admn-sts
Eiropas+Kopienas+lietu+komiteju+konference-lv = supersededTerm-admn-sts
InnovFin+finans%C4%93jums+vid%C4%93ji+liela+kapit%C4%81la+uz%C5%86%C4%93mumu+izaugsmei-lv = preferredTerm-admn-sts
Konkur%C4%93tsp%C4%93jas+un+jaunin%C4%81jumu+izpilda%C4%A3ent%C5%ABra-lv = supersededTerm-admn-sts
Lauku+saimniec%C4%ABbu+gr%C4%81matved%C4%ABbas+datu+t%C4%ABkla+komiteja-lv = preferredTerm-admn-sts
Pirm%C4%81s+instances+tiesa-lv = supersededTerm-admn-sts
Valo%C5%86u+Brabantes+province-lv = preferredTerm-admn-sts
ZZTEK-lv = preferredTerm-admn-sts
akvakult%C5%ABras+dz%C4%ABvnieku+audz%C4%93tava-lv = preferredTerm-admn-sts
arodpensijas+kapit%C4%81la+uzkr%C4%81%C5%A1ana-lv = preferredTerm-admn-sts
d%C5%ABmg%C4%81zu+ats%C4%93ro%C5%A1ana+ar+j%C5%ABras+%C5%ABdeni-lv = preferredTerm-admn-sts
domn%C4%ABca-lv = preferredTerm-admn-sts
emisijas+kvotu+bezmaksas+pie%C5%A1%C4%B7ir%C5%A1ana-lv = preferredTerm-admn-sts
iepriek%C5%A1%C4%93js+finans%C4%93jums-lv = deprecatedTerm-admn-sts
impulsu+elektronu+pa%C4%81trin%C4%81t%C4%81js-lv = preferredTerm-admn-sts
izdz%C4%ABvot%C4%ABbas+r%C4%81d%C4%ABt%C4%81js-lv = preferredTerm-admn-sts
l%C4%ABgumsaist%C4%ABba-lv = preferredTerm-admn-sts
lidojumu+dro%C5%A1uma+darb%C4%ABbas+r%C4%81d%C4%ABt%C4%81js-lv = deprecatedTerm-admn-sts
masa+neslogot%C4%81+st%C4%81vokl%C4%AB-lv = preferredTerm-admn-sts
n%C4%81trija+stearoil-2-lakt%C4%81ts-lv = deprecatedTerm-admn-sts
plastmasas+materi%C4%81ls-lv = admittedTerm-admn-sts
putu+sl%C4%81p%C4%93t%C4%81js-lv = preferredTerm-admn-sts
sol%C4%81r%C4%81+siltumapg%C4%81de-lv = preferredTerm-admn-sts
tapiokas+augs-lv = deprecatedTerm-admn-sts
viela%2C+kas+rada+%C4%BCoti+lielas+ba%C5%BEas-lv = preferredTerm-admn-sts
%22tehnolo%C4%A3iskais+slazds%22-lv = admittedTerm-admn-sts
ES+un+Centr%C4%81lamerikas+viet%C4%93j%C4%81+konsultantu+grupa-lv = preferredTerm-admn-sts
Hum%C4%81n%C4%81s+pal%C4%ABdz%C4%ABbas+%C4%A3ener%C4%81ldirektor%C4%81ts-lv = supersededTerm-admn-sts
Marijas+Kir%C4%AB+v%C4%81rd%C4%81+nosaukt%C4%81s+darb%C4%ABbas-lv = supersededTerm-admn-sts
RKP-lv = supersededTerm-admn-sts
Uz%C5%86%C4%93m%C4%93jdarb%C4%ABbas+ties%C4%ABbu+jaut%C4%81jumu+darba+grupa+%28akcion%C4%81ru+ties%C4%ABbas%29-lv = supersededTerm-admn-sts
atbilst%C4%ABbas+p%C4%81rbaude-lv = supersededTerm-admn-sts
autoce%C4%BCu+apsaimniekot%C4%81js-lv = preferredTerm-admn-sts
bezmaksas+juridisk%C4%81+pal%C4%ABdz%C4%ABba-lv = supersededTerm-admn-sts
datortomogr%C4%81fija-lv = preferredTerm-admn-sts
datu+minimiz%C4%93%C5%A1ana-lv = preferredTerm-admn-sts
finan%C5%A1u+gr%C4%81matojumu+noskaidro%C5%A1ana-lv = deprecatedTerm-admn-sts
force+majeure-lv = preferredTerm-admn-sts
ieguld%C4%ABjumu+sabiedr%C4%ABba-lv = preferredTerm-admn-sts
inform%C4%81cijas+un+komunik%C4%81cijas+tehnolo%C4%A3ijas-lv = preferredTerm-admn-sts
juridisk%C4%81s+noteikt%C4%ABbas+princips-lv = preferredTerm-admn-sts
kizelgurs-lv = deprecatedTerm-admn-sts
kont%C5%ABrlukturis-lv = preferredTerm-admn-sts
kontrol%C4%93ta+inciner%C4%81cija-lv = preferredTerm-admn-sts
korporat%C4%ABv%C4%81+p%C4%81rvald%C4%ABba-lv = preferredTerm-admn-sts
pel%C4%93k%C4%81+%C4%ABsraga+haizivs-lv = preferredTerm-admn-sts
pie%C4%BCaujam%C4%81+daudzuma+tests-lv = deprecatedTerm-admn-sts
sa%C4%B7eres+izmantojums-lv = preferredTerm-admn-sts
tranz%C4%ABtv%C4%ABza-lv = preferredTerm-admn-sts
A+%C4%A3ener%C4%81ldirektor%C4%81ts+%E2%80%93+Person%C4%81ls+un+p%C4%81rvalde-lv = supersededTerm-admn-sts
Augst%C4%81k%C4%81+rada-lv = preferredTerm-admn-sts
B+%C4%A3ener%C4%81ldirektor%C4%81ts+-+Lauksaimniec%C4%ABba+un+zivsaimniec%C4%ABba-lv = supersededTerm-admn-sts
Dro%C5%A1%C4%ABbas+komiteja+%28SAP%29-lv = supersededTerm-admn-sts
Eiropas+Savien%C4%ABbas+%C4%ABpa%C5%A1ais+p%C4%81rst%C4%81vis+Sud%C4%81n%C4%81-lv = supersededTerm-admn-sts
Eiropas+platforma+sadarb%C4%ABbas+uzlabo%C5%A1anai+nedeklar%C4%93ta+darba+nov%C4%93r%C5%A1an%C4%81+un+attur%C4%93%C5%A1an%C4%81+no+t%C4%81-lv = supersededTerm-admn-sts
Kopienas+juridisks+instruments-lv = supersededTerm-admn-sts
MONUC-lv = supersededTerm-admn-sts
P%C4%81rvald%C4%ABbas+komiteja-lv = deprecatedTerm-admn-sts
Savien%C4%ABbas+tiesisk%C4%81+k%C4%81rt%C4%ABba-lv = preferredTerm-admn-sts
UNOCHA-lv = supersededTerm-admn-sts
Zemei+tuvo+kosmisko+objektu+nov%C4%93ro%C5%A1ana+un+uzraudz%C4%ABba-lv = preferredTerm-admn-sts
at%C4%BCauja%2C+kas+dod+ties%C4%ABbas+uztur%C4%93ties-lv = admittedTerm-admn-sts
bezatsitiena+lielgabals-lv = preferredTerm-admn-sts
dienvidu+heks-lv = deprecatedTerm-admn-sts
digit%C4%81l%C4%81+dividende-lv = preferredTerm-admn-sts
integr%C4%93t%C4%81+j%C5%ABrlietu+politika-lv = preferredTerm-admn-sts
kr%C4%ABzes+situ%C4%81ciju+koordin%C4%81cijas+meh%C4%81nismi-lv = supersededTerm-admn-sts
mazo+atgremot%C4%81ju+m%C4%93ra+v%C4%ABrusa+infekcija-lv = preferredTerm-admn-sts
mazoglek%C4%BCa+tehnolo%C4%A3ija-lv = preferredTerm-admn-sts
oglek%C4%BCa+dioks%C4%ABds-lv = preferredTerm-admn-sts
pareiza+tiesved%C4%ABbas+rakstveida+un+mutv%C4%81rdu+da%C4%BCas+norise-lv = preferredTerm-admn-sts
pretinde-lv = preferredTerm-admn-sts
regula+%22Brisele+II%22-lv = preferredTerm-admn-sts
superdato%C5%A1ana-lv = preferredTerm-admn-sts
telev%C4%ABzijas+t%C5%ABneris-lv = deprecatedTerm-admn-sts
viens+atce%C4%BC+otru+r%C4%ABkojums-lv = deprecatedTerm-admn-sts
%22patentlodzi%C5%86a%22+re%C5%BE%C4%ABms-lv = preferredTerm-admn-sts
CNPPA-lv = supersededTerm-admn-sts
Desmit+valstu+atbru%C5%86o%C5%A1an%C4%81s+komiteja-lv = supersededTerm-admn-sts
Eiropas+Kopienu+Pirm%C4%81s+instances+tiesa-lv = supersededTerm-admn-sts
Eiropas+Lauksaimniec%C4%ABbas+virz%C4%ABbas+un+garantiju+fonds-lv = supersededTerm-admn-sts
Eiropas+P%C4%93tniec%C4%ABbas+telpas+jaut%C4%81jumu+komiteja-lv = supersededTerm-admn-sts
Jaudas+iepriek%C5%A1paredz%C4%93tas+sadales+t%C4%ABkla+kodekss-lv = deprecatedTerm-admn-sts
P%C4%93tniec%C4%ABbas+padome-lv = supersededTerm-admn-sts
Petri+trauci%C5%86a+un+iejaukuma+metode-lv = preferredTerm-admn-sts
Regula+par+Kopienas+pre%C4%8Du+z%C4%ABmi-lv = supersededTerm-admn-sts
Som%C4%81lijas+Republika-lv = supersededTerm-admn-sts
aptur%C4%93%C5%A1anas+cena-lv = deprecatedTerm-admn-sts
citas+valsts+teritorij%C4%81+veikta+nov%C4%93ro%C5%A1ana-lv = preferredTerm-admn-sts
darb%C4%ABba%2C+kas+veicina+neleg%C4%81lo+imigr%C4%81ciju-lv = admittedTerm-admn-sts
dzin%C4%93ju+p%C4%81rsedzo%C5%A1a+kab%C4%ABne-lv = preferredTerm-admn-sts
energoresursu+strukt%C5%ABra-lv = preferredTerm-admn-sts
juridisk%C4%81+noteikt%C4%ABba-lv = preferredTerm-admn-sts
kapit%C4%81la+pras%C4%ABba-lv = preferredTerm-admn-sts
kom%C5%ABna-lv = preferredTerm-admn-sts
m%C4%81ksl%C4%ABgais+papildu+%C4%93din%C4%81%C5%A1anas+mais%C4%ABjums+z%C4%ABdai%C5%86iem-lv = deprecatedTerm-admn-sts
mazoglek%C4%BCa+ekonomisk%C4%81s+izaugsmes+pl%C4%81ns-lv = preferredTerm-admn-sts
neatbilst%C4%ABgas+migr%C4%81cijas+pl%C5%ABsma-lv = preferredTerm-admn-sts
pamatnol%C4%ABgums-lv = preferredTerm-admn-sts
paral%C4%93la+kontrolgrupa-lv = preferredTerm-admn-sts
