%28production+de%29+gaz+%C3%A0+partir+d%27%C3%A9lectricit%C3%A9-fr = preferredTerm-admn-sts
Comit%C3%A9+des+ambassadeurs+ACP-CE-fr = supersededTerm-admn-sts
Comit%C3%A9+intergouvernemental+pour+les+migrations-fr = supersededTerm-admn-sts
Conseil+pour+l%27enseignement%2C+le+recrutement+et+la+formation+dans+l%27h%C3%B4tellerie%2C+la+restauration+et+le+tourisme-fr = supersededTerm-admn-sts
Direction+2+-+P%C3%AAche%2C+questions+de+la+cha%C3%AEne+alimentaire+et+v%C3%A9t%C3%A9rinaire-fr = supersededTerm-admn-sts
Directive+du+Conseil+visant+%C3%A0+la+coordination+de+certaines+dispositions+l%C3%A9gislatives%2C+r%C3%A9glementaires+et+administratives+des+Etats+membres+relatives+%C3%A0+l%27exercice+d%27activit%C3%A9s+de+radiodiffusion+t%C3%A9l%C3%A9visuelle-fr = supersededTerm-admn-sts
Groupe+d%27appui+ad+hoc+JAI-RELEX-fr = supersededTerm-admn-sts
Institut+europ%C3%A9en+de+normalisation+des+t%C3%A9l%C3%A9communications-fr = preferredTerm-admn-sts
Ligue+des+champions-fr = preferredTerm-admn-sts
Mission+de+l%27Organisation+des+Nations+unies+en+R%C3%A9publique+d%C3%A9mocratique+du+Congo-fr = supersededTerm-admn-sts
Organisation+europ%C3%A9enne+pour+l%27%C3%A9quipement+%C3%A9lectronique+de+l%27aviation+civile-fr = supersededTerm-admn-sts
Pacte+des+maires-fr = deprecatedTerm-admn-sts
Parti+du+centre+d%C3%A9mocratique+et+social-fr = supersededTerm-admn-sts
Programme+sp%C3%A9cifique+de+recherche%2C+de+d%C3%A9veloppement+technologique+et+de+d%C3%A9monstration%2C+dans+le+domaine+des+technologies+et+services+avanc%C3%A9s+de+communication-fr = supersededTerm-admn-sts
SICOVAM+SA-fr = supersededTerm-admn-sts
SMAP-fr = supersededTerm-admn-sts
Service+Pr%C3%A9vention-fr = supersededTerm-admn-sts
Sous-commission+de+la+promotion+et+de+la+protection+des+droits+de+l%27homme-fr = supersededTerm-admn-sts
aide+en+nature-fr = preferredTerm-admn-sts
cantonnement+pour+la+plie-fr = preferredTerm-admn-sts
carte+europ%C3%A9enne+d%27armes+%C3%A0+feu-fr = supersededTerm-admn-sts
co%C3%BBts+de+financement+de+haut+niveau-fr = deprecatedTerm-admn-sts
commissaire-r%C3%A9viseur-fr = admittedTerm-admn-sts
consommation+occasionnelle+mais+intensive+d%27alcool-fr = deprecatedTerm-admn-sts
donn%C3%A9es+nominatives-fr = supersededTerm-admn-sts
existence+et+droits+de+propri%C3%A9t%C3%A9-fr = deprecatedTerm-admn-sts
groupe+d%27%C3%A9tude+permanent+%C2%ABS%C3%A9curit%C3%A9+alimentaire%C2%BB-fr = supersededTerm-admn-sts
groupe+des+Amis+de+la+pr%C3%A9sidence+%28R%C3%A9examen%2Fr%C3%A9vision+du+CFP%29-fr = supersededTerm-admn-sts
infection+%C3%A0+Brucella+abortus%2C+B.+melitensis+et+B.+suis-fr = preferredTerm-admn-sts
internet+de+prochaine+g%C3%A9n%C3%A9ration-fr = deprecatedTerm-admn-sts
joint-fr = preferredTerm-admn-sts
mentorat-fr = preferredTerm-admn-sts
obligation+de+stabilit%C3%A9-fr = deprecatedTerm-admn-sts
petite+%C3%A9olienne-fr = preferredTerm-admn-sts
r%C3%A9gime+%22Lait+scolaire%22-fr = supersededTerm-admn-sts
r%C3%A9gulation+%C3%A0+pas+variable-fr = preferredTerm-admn-sts
r%C3%A9sidence+permanente-fr = admittedTerm-admn-sts
recyclage+des+gaz+d%E2%80%99%C3%A9chappement-fr = preferredTerm-admn-sts
ununnilium-fr = supersededTerm-admn-sts
v%C3%A9hicule+utilitaire+sport-fr = deprecatedTerm-admn-sts
valeur+lambda-fr = preferredTerm-admn-sts
visa+long+s%C3%A9jour-fr = admittedTerm-admn-sts
%C3%A9co-conduite-fr = admittedTerm-admn-sts
%C3%A9conomie+verte-fr = preferredTerm-admn-sts
Agence+nationale+de+l%27accueil+des+%C3%A9trangers+et+des+migrations-fr = supersededTerm-admn-sts
Comit%C3%A9+mon%C3%A9taire-fr = supersededTerm-admn-sts
Comit%C3%A9+sur+les+syst%C3%A8mes+de+paiement+et+de+r%C3%A8glement+des+banques+centrales+du+G10-fr = supersededTerm-admn-sts
DG+F-fr = supersededTerm-admn-sts
DVLM-fr = preferredTerm-admn-sts
Direction+3+-+Comp%C3%A9titivit%C3%A9-fr = supersededTerm-admn-sts
EFSI-fr = preferredTerm-admn-sts
Feuille+de+route+pour+la+paix+au+Proche-Orient-fr = preferredTerm-admn-sts
Groupe+%22Questions+atomiques%22+%28Groupe+ad+hoc+%22S%C3%BBret%C3%A9+nucl%C3%A9aire%22%29-fr = supersededTerm-admn-sts
Minist%C3%A8re+public+europ%C3%A9en-fr = supersededTerm-admn-sts
PCIS-fr = supersededTerm-admn-sts
S%C3%A9rie+des+trait%C3%A9s+europ%C3%A9ens-fr = supersededTerm-admn-sts
Soci%C3%A9t%C3%A9+mutuelle+des+administrations+publiques-fr = supersededTerm-admn-sts
Soci%C3%A9t%C3%A9+r%C3%A9gionale+wallonne+du+logement-fr = supersededTerm-admn-sts
Syst%C3%A8me+europ%C3%A9en+de+surveillance+de+la+r%C3%A9sistance+aux+antimicrobiens-fr = supersededTerm-admn-sts
TSA-fr = preferredTerm-admn-sts
acide+ac%C3%A9tique+glacial-fr = preferredTerm-admn-sts
application+de+gestion+int%C3%A9gr%C3%A9e+des+retours-fr = supersededTerm-admn-sts
appr%C3%A9ciation+de+la+situation+maritime-fr = preferredTerm-admn-sts
audit+environnemental+interne-fr = preferredTerm-admn-sts
bonobo-fr = preferredTerm-admn-sts
citoyen+de+l%27UE-fr = admittedTerm-admn-sts
corridor+%C3%A9cologique-fr = preferredTerm-admn-sts
d%C3%A9sincitation-fr = deprecatedTerm-admn-sts
exploitation+sans+interruption-fr = preferredTerm-admn-sts
genr%C3%A9-fr = deprecatedTerm-admn-sts
instrument+juridique+communautaire-fr = supersededTerm-admn-sts
int%C3%A9r%C3%AAts+%C3%A0+%C3%A9choir-fr = admittedTerm-admn-sts
l%27EIIL%2FDaech-fr = preferredTerm-admn-sts
malvoyant-fr = deprecatedTerm-admn-sts
marque+d%27atelier-fr = preferredTerm-admn-sts
masse+des+cr%C3%A9anciers-fr = supersededTerm-admn-sts
membre+titulaire+du+Comit%C3%A9+des+r%C3%A9gions-fr = supersededTerm-admn-sts
non-admission-fr = admittedTerm-admn-sts
p%C3%A9riode+probatoire-fr = admittedTerm-admn-sts
partenariat+europ%C3%A9en+d%27innovation-fr = preferredTerm-admn-sts
plan+d%27action+destin%C3%A9+%C3%A0+renforcer+la+lutte+contre+le+financement+du+terrorisme-fr = preferredTerm-admn-sts
point+final-fr = deprecatedTerm-admn-sts
produit+de+cannabis-fr = deprecatedTerm-admn-sts
prot%C3%A9ine+%C3%A0+cible+pharmacologique-fr = deprecatedTerm-admn-sts
puissance+paternelle-fr = supersededTerm-admn-sts
section+%22orientation%22+du+FEOGA-fr = supersededTerm-admn-sts
sensibilit%C3%A9+au+gluten+non+coeliaque-fr = preferredTerm-admn-sts
somatotrophine-fr = preferredTerm-admn-sts
statut+de+protection+subsidiaire-fr = deprecatedTerm-admn-sts
trade+through+rule-fr = admittedTerm-admn-sts
trading+algorithmique-fr = preferredTerm-admn-sts
ununoctium-fr = supersededTerm-admn-sts
ununtrium-fr = supersededTerm-admn-sts
vente+%C3%A0+distance+de+services+financiers-fr = admittedTerm-admn-sts
Club+du+Sahel-fr = supersededTerm-admn-sts
Comit%C3%A9+de+s%C3%A9curit%C3%A9+%28INFOSEC%29-fr = supersededTerm-admn-sts
Comit%C3%A9+international+des+unit%C3%A9s+de+rayons+X-fr = supersededTerm-admn-sts
Convention+de+r%C3%A9duction+de+la+dur%C3%A9e+du+travail+%28travaux+publics%29%2C+1936+%28C51%29-fr = supersededTerm-admn-sts
D%C3%A9claration+commune+sur+les+modalit%C3%A9s+pratiques+de+la+nouvelle+proc%C3%A9dure+de+cod%C3%A9cision+%28article+251+du+Trait%C3%A9+instituant+la+communaut%C3%A9+europ%C3%A9enne%29-fr = supersededTerm-admn-sts
DG+A-fr = supersededTerm-admn-sts
Direction+2+-+Transparence-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+F+-+Communication+et+information-fr = supersededTerm-admn-sts
Fonds+relevant+du+Cadre+strat%C3%A9gique+commun-fr = supersededTerm-admn-sts
Protocole+sur+la+position+du+Royaume-Uni+et+de+l%27Irlande-fr = supersededTerm-admn-sts
aide+%C3%A0+l%27immigration+clandestine-fr = admittedTerm-admn-sts
comit%C3%A9+des+accises-fr = supersededTerm-admn-sts
d%C3%A9pr%C3%A9ciation-fr = admittedTerm-admn-sts
demande+d%27intervention-fr = preferredTerm-admn-sts
dourine-fr = preferredTerm-admn-sts
forum+%22march%C3%A9s+publics%22-fr = preferredTerm-admn-sts
hashtag-fr = admittedTerm-admn-sts
herbage-fr = admittedTerm-admn-sts
loi-fr = supersededTerm-admn-sts
m%C3%A9canisme+de+mixage-fr = preferredTerm-admn-sts
marque+de+la+roue+de+gouvernail-fr = deprecatedTerm-admn-sts
navetteur-fr = preferredTerm-admn-sts
niveau+de+la+nappe+phr%C3%A9atique-fr = admittedTerm-admn-sts
parent+par+alliance-fr = admittedTerm-admn-sts
pauvret%C3%A9+mon%C3%A9taire-fr = preferredTerm-admn-sts
prime+%C3%A0+la+vache+laiti%C3%A8re-fr = supersededTerm-admn-sts
raban+de+cul-fr = preferredTerm-admn-sts
radiocommunications+%C3%A0+ressources+partag%C3%A9es-fr = admittedTerm-admn-sts
strat%C3%A9gie+de+l%27UE+pour+2020-fr = supersededTerm-admn-sts
CERT-fr = supersededTerm-admn-sts
Comit%C3%A9+g%C3%A9n%C3%A9ral+de+la+coop%C3%A9ration+agricole+de+l%27Union+europ%C3%A9enne-fr = supersededTerm-admn-sts
Coop%C3%A9ration+politique+europ%C3%A9enne-fr = supersededTerm-admn-sts
DG+Agriculture-fr = supersededTerm-admn-sts
Direction+1+-+M%C3%A9dias+et+communication-fr = supersededTerm-admn-sts
Fondation+europ%C3%A9enne+pour+la+gestion+de+la+qualit%C3%A9-fr = deprecatedTerm-admn-sts
Fonds+europ%C3%A9en+d%27orientation+et+de+garantie+agricole%2C+section+%22orientation%22-fr = supersededTerm-admn-sts
Groupe+d%27action+financi%C3%A8re+sur+le+blanchiment+de+capitaux-fr = supersededTerm-admn-sts
IPV-fr = deprecatedTerm-admn-sts
Institut+des+mat%C3%A9riaux+avanc%C3%A9s-fr = supersededTerm-admn-sts
MONUC-fr = supersededTerm-admn-sts
OHMI-fr = supersededTerm-admn-sts
Office+des+migrations+internationales-fr = supersededTerm-admn-sts
POS-fr = supersededTerm-admn-sts
RTT-fr = supersededTerm-admn-sts
Tallinn-fr = preferredTerm-admn-sts
Tribunal-fr = preferredTerm-admn-sts
assistance+macrofinanci%C3%A8re-fr = preferredTerm-admn-sts
autorisation+de+s%C3%A9jour+pour+consid%C3%A9rations+humanitaires-fr = admittedTerm-admn-sts
autorisation+de+s%C3%A9jour+pour+raisons+humanitaires-fr = preferredTerm-admn-sts
base+de+donn%C3%A9es+de+r%C3%A9f%C3%A9rence-fr = preferredTerm-admn-sts
brise+de+vall%C3%A9e-fr = preferredTerm-admn-sts
campagne+nationale+pour+les+droits+humains+des+Dalits-fr = admittedTerm-admn-sts
code+communautaire+des+visas-fr = supersededTerm-admn-sts
comit%C3%A9+europ%C3%A9en+du+risque+syst%C3%A9mique-fr = preferredTerm-admn-sts
commissaire+charg%C3%A9+des+affaires+int%C3%A9rieures-fr = supersededTerm-admn-sts
commission+de+la+culture+et+de+l%27%C3%A9ducation-fr = supersededTerm-admn-sts
coning-fr = deprecatedTerm-admn-sts
document+d%27informations+cl%C3%A9s-fr = preferredTerm-admn-sts
exposition+pour+transaction-fr = preferredTerm-admn-sts
groupe+scientifique+sur+la+sant%C3%A9+et+le+bien-%C3%AAtre+des+animaux-fr = preferredTerm-admn-sts
immigration+irr%C3%A9guli%C3%A8re-fr = admittedTerm-admn-sts
interdiction+du+territoire-fr = preferredTerm-admn-sts
marge+de+production+inemploy%C3%A9e-fr = admittedTerm-admn-sts
papier+de+s%C3%A9curit%C3%A9-fr = preferredTerm-admn-sts
poudre+de+contact-fr = preferredTerm-admn-sts
poussi%C3%A8re+dans+les+gaz+%C3%A9mis-fr = preferredTerm-admn-sts
proc%C3%A9dure+de+concertation-fr = supersededTerm-admn-sts
produit+chimique+soumis+%C3%A0+la+proc%C3%A9dure+CIP-fr = deprecatedTerm-admn-sts
radical-fr = supersededTerm-admn-sts
situation+de+tr%C3%A9sorerie-fr = preferredTerm-admn-sts
sous-station+%C3%A9lectrique-fr = preferredTerm-admn-sts
syst%C3%A8me+de+noms+de+domaines-fr = preferredTerm-admn-sts
tennessine-fr = deprecatedTerm-admn-sts
terroriste+endog%C3%A8ne-fr = admittedTerm-admn-sts
trade+through-fr = admittedTerm-admn-sts
ununbium-fr = supersededTerm-admn-sts
Agence+communautaire+de+contr%C3%B4le+des+p%C3%AAches-fr = supersededTerm-admn-sts
Agence+ex%C3%A9cutive+pour+l%27%C3%A9nergie+intelligente-fr = supersededTerm-admn-sts
Agence+ex%C3%A9cutive+pour+les+consommateurs%2C+la+sant%C3%A9+et+l%27alimentation-fr = supersededTerm-admn-sts
CDH-fr = admittedTerm-admn-sts
CIF-fr = preferredTerm-admn-sts
Champions+League-fr = admittedTerm-admn-sts
Comit%C3%A9+des+sp%C3%A9cialit%C3%A9s+pharmaceutiques-fr = supersededTerm-admn-sts
Conseil+pour+le+r%C3%A9tablissement+de+la+loi+et+de+l%27ordre-fr = supersededTerm-admn-sts
Convention+relative+aux+populations+aborig%C3%A8nes+et+tribales%2C+de+1957-fr = supersededTerm-admn-sts
Cour+de+justice+des+Communaut%C3%A9s+europ%C3%A9ennes-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+B+-+Agriculture%2C+p%C3%AAche%2C+affaires+sociales+et+sant%C3%A9-fr = supersededTerm-admn-sts
EU+SSR+GUINEA-BISSAU-fr = preferredTerm-admn-sts
Groupe+%22Droit+des+soci%C3%A9t%C3%A9s%22+%28Deuxi%C3%A8me+directive%29-fr = supersededTerm-admn-sts
IDAHOT-fr = supersededTerm-admn-sts
Jakarta-fr = preferredTerm-admn-sts
Passage+Automatis%C3%A9+Rapide+Aux+Fronti%C3%A8res+Ext%C3%A9rieures+Schengen-fr = supersededTerm-admn-sts
Protocole+SMTP-fr = preferredTerm-admn-sts
Protocole+annex%C3%A9+au+trait%C3%A9+sur+l%27Union+europ%C3%A9enne+et+aux+trait%C3%A9s+instituant+les+Communaut%C3%A9s+europ%C3%A9ennes-fr = supersededTerm-admn-sts
Santa+Fe+de+Bogota-fr = supersededTerm-admn-sts
ambassadeur+aupr%C3%A8s+de+l%27UE-fr = admittedTerm-admn-sts
aveugle-fr = deprecatedTerm-admn-sts
cannabis+th%C3%A9rapeutique-fr = deprecatedTerm-admn-sts
centre+de+donnees+de+calcul-fr = supersededTerm-admn-sts
certificat+souche-fr = deprecatedTerm-admn-sts
comp%C3%A9tence+compl%C3%A9mentaire-fr = supersededTerm-admn-sts
conseil+de+gestion+du+programme+global-fr = preferredTerm-admn-sts
cr%C3%A9dit+rotatif-fr = supersededTerm-admn-sts
direction+g%C3%A9n%C3%A9rale+de+l%27%C3%A9ducation+et+de+la+culture-fr = supersededTerm-admn-sts
donn%C3%A9es+gouvernementales-fr = admittedTerm-admn-sts
extrados-fr = preferredTerm-admn-sts
groupe+de+contact+UE-Russie-fr = supersededTerm-admn-sts
information+pr%C3%A9alable+sur+les+voyageurs-fr = deprecatedTerm-admn-sts
instrument+de+voisinage%2C+de+d%C3%A9veloppement+et+de+coop%C3%A9ration+internationale-fr = deprecatedTerm-admn-sts
libert%C3%A9+religieuse-fr = admittedTerm-admn-sts
limon+argilo-sableux-fr = preferredTerm-admn-sts
liqueur+noire-fr = preferredTerm-admn-sts
mission+civile+internationale-fr = supersededTerm-admn-sts
no+deal-fr = admittedTerm-admn-sts
observatoire+europ%C3%A9en+de+la+pauvret%C3%A9+%C3%A9nerg%C3%A9tique-fr = deprecatedTerm-admn-sts
plateforme+externe+de+n%C3%A9gociation-fr = preferredTerm-admn-sts
principe+%22penser+aux+petits%22-fr = deprecatedTerm-admn-sts
proc%C3%A9dure+de+rachat-fr = supersededTerm-admn-sts
r%C3%A9sident+durablement+install%C3%A9-fr = deprecatedTerm-admn-sts
station+de+base-fr = preferredTerm-admn-sts
visa+de+voyage-fr = admittedTerm-admn-sts
wash+trade-fr = deprecatedTerm-admn-sts
Agence+IT-fr = supersededTerm-admn-sts
BAD-fr = preferredTerm-admn-sts
Code+de+conduite+du+PE+pour+la+n%C3%A9gociation+de+dossiers+de+cod%C3%A9cision-fr = supersededTerm-admn-sts
Comit%C3%A9+olympique+non+racial+sud-africain-fr = supersededTerm-admn-sts
Commissariat+g%C3%A9n%C3%A9ral+aux+Relations+Internationales-fr = supersededTerm-admn-sts
Conf%C3%A9rence+de+paix+au+Proche-Orient-fr = preferredTerm-admn-sts
Conseil+%22Culture%22-fr = supersededTerm-admn-sts
Convention+sur+les+contrats+de+travail+%28travailleurs+indig%C3%A8nes%29%2C+1939+%28C64%29-fr = supersededTerm-admn-sts
DG+Personnel+et+administration-fr = supersededTerm-admn-sts
Direction+2+-+P%C3%AAche%2C+alimentation+et+sant%C3%A9-fr = supersededTerm-admn-sts
F%C3%A9d%C3%A9ration+internationale+des+producteurs+de+phonogrammes+et+vid%C3%A9ogrammes-fr = supersededTerm-admn-sts
Groupe+%22Services+financiers%22+%28%C3%89tablissements+de+monnaie+%C3%A9lectronique%29-fr = supersededTerm-admn-sts
Groupe+ad+hoc+sur+les+perspectives+financi%C3%A8res-fr = supersededTerm-admn-sts
IFOP-fr = supersededTerm-admn-sts
Observatoire+national+des+droits+de+l%27homme-fr = supersededTerm-admn-sts
Rapport+annuel+global+sur+la+formation+dans+le+domaine+de+la+PSDC+et+dans+les+domaines+li%C3%A9s+%C3%A0+la+PSDC-fr = preferredTerm-admn-sts
Wieng+Chan-fr = supersededTerm-admn-sts
agriculture+climato-intelligente-fr = preferredTerm-admn-sts
allocation+de+chef+de+famille-fr = supersededTerm-admn-sts
balise-fr = preferredTerm-admn-sts
caract%C3%A8re+significatif-fr = supersededTerm-admn-sts
carrousel-fr = admittedTerm-admn-sts
coop%C3%A9ration+consulaire+locale+en+mati%C3%A8re+de+visas-fr = supersededTerm-admn-sts
cordage+anti-pierres-fr = deprecatedTerm-admn-sts
d%C3%A9cision-cadre+relative+%C3%A0+la+lutte+contre+le+terrorisme-fr = preferredTerm-admn-sts
d%C3%A9marchage+commercial-fr = admittedTerm-admn-sts
documents+de+travail+sur+la+fiscalit%C3%A9-fr = preferredTerm-admn-sts
eka-radon-fr = supersededTerm-admn-sts
enc%C3%A9phalomy%C3%A9lite+%C3%A9quine+de+l%27Ouest-fr = preferredTerm-admn-sts
gouvernance+des+%C3%A9tablissements+scolaires-fr = preferredTerm-admn-sts
hyperlien-fr = preferredTerm-admn-sts
information+pr%C3%A9alable+sur+les+passagers-fr = preferredTerm-admn-sts
maillage+uniforme-fr = deprecatedTerm-admn-sts
option+%C2%ABgreen+shoe+%C2%BB-fr = admittedTerm-admn-sts
ordre+au+prix+du+march%C3%A9-fr = supersededTerm-admn-sts
pathophysiologie-fr = deprecatedTerm-admn-sts
patria+potestas-fr = supersededTerm-admn-sts
pays+de+premier+asile-fr = admittedTerm-admn-sts
proc%C3%A9dure+ordinaire-fr = supersededTerm-admn-sts
quark+top-fr = preferredTerm-admn-sts
radiocommunications+terrestres+%C3%A0+ressources+partag%C3%A9es-fr = preferredTerm-admn-sts
restauration-fr = preferredTerm-admn-sts
salissure-fr = admittedTerm-admn-sts
service+national+d%27assistance+r%C3%A9glementaire-fr = preferredTerm-admn-sts
substance+active+biocide-fr = preferredTerm-admn-sts
vacherie-fr = supersededTerm-admn-sts
voie+d%C3%A9vi%C3%A9e-fr = preferredTerm-admn-sts
wint%C3%A9risation-fr = admittedTerm-admn-sts
%C3%A9conomie+en+ligne-fr = preferredTerm-admn-sts
AACI-fr = supersededTerm-admn-sts
CdE-fr = admittedTerm-admn-sts
Commission+g%C3%A9n%C3%A9rale+de+terminologie+et+de+n%C3%A9ologie-fr = supersededTerm-admn-sts
Compact+des+maires-fr = deprecatedTerm-admn-sts
GCE-fr = supersededTerm-admn-sts
Institut+du+FMI-fr = supersededTerm-admn-sts
OMI-fr = supersededTerm-admn-sts
Parti+des+socialistes+europ%C3%A9ens-fr = supersededTerm-admn-sts
SPSS-fr = supersededTerm-admn-sts
centre+public+d%27aide+sociale-fr = supersededTerm-admn-sts
citoyen+de+l%27Union-fr = admittedTerm-admn-sts
commissaire+charg%C3%A9+des+affaires+%C3%A9conomiques+et+mon%C3%A9taires+et+de+l%27euro-fr = supersededTerm-admn-sts
communication+de+la+Commission-fr = preferredTerm-admn-sts
concept+%C2%ABUne+seule+sant%C3%A9%C2%BB-fr = preferredTerm-admn-sts
contrat+emploi+consolid%C3%A9-fr = supersededTerm-admn-sts
coop%C3%A9ration+nordico-baltique-fr = admittedTerm-admn-sts
discrimination+fond%C3%A9e+sur+la+religion-fr = preferredTerm-admn-sts
enc%C3%A9phalite+japonaise-fr = preferredTerm-admn-sts
facilit%C3%A9+d%E2%80%99investissement+pour+le+voisinage-fr = preferredTerm-admn-sts
fondations-fr = preferredTerm-admn-sts
fr%C3%A9quence+propre-fr = preferredTerm-admn-sts
groupe+de+coordination+des+%C3%A9lections-fr = supersededTerm-admn-sts
m%C3%A9canisme+d%E2%80%99%C3%A9quit%C3%A9+correcteur-fr = deprecatedTerm-admn-sts
m%C3%A9decine+naturelle-fr = admittedTerm-admn-sts
m%C3%A9dicament+de+qualit%C3%A9+inf%C3%A9rieure-fr = preferredTerm-admn-sts
mariage+de+complaisance-fr = preferredTerm-admn-sts
merlu+du+Sud-fr = deprecatedTerm-admn-sts
munition+non+explos%C3%A9e-fr = preferredTerm-admn-sts
observatoire+europ%C3%A9en+de+la+contrefa%C3%A7on+et+du+piratage-fr = supersededTerm-admn-sts
op%C3%A9ration+de+paiement+isol%C3%A9e-fr = preferredTerm-admn-sts
pacte+pour+l%27euro-fr = supersededTerm-admn-sts
pompe+volum%C3%A9trique-fr = preferredTerm-admn-sts
production+participative-fr = preferredTerm-admn-sts
r%C3%A9ception+CE-fr = supersededTerm-admn-sts
r%C3%A9serve+%C2%ABasile%C2%BB-fr = preferredTerm-admn-sts
s%C3%A9jour+clandestin-fr = admittedTerm-admn-sts
service+charg%C3%A9+de+la+v%C3%A9rification+de+la+conformit%C3%A9-fr = preferredTerm-admn-sts
syst%C3%A8me+de+diligence+raisonnable-fr = deprecatedTerm-admn-sts
v%C3%A9hicule+%C3%A0+faible+%C3%A9mission-fr = admittedTerm-admn-sts
visa+%C3%A0+la+fronti%C3%A8re-fr = admittedTerm-admn-sts
%C3%89quipe+d%C3%A9ontologie+et+discipline-fr = supersededTerm-admn-sts
%C3%A9quipement+de+protection+individuelle-fr = preferredTerm-admn-sts
%C5%93ufs+de+poules+%C3%A9lev%C3%A9es+en+libre+parcours-fr = supersededTerm-admn-sts
CCE-fr = deprecatedTerm-admn-sts
Comit%C3%A9+des+affaires+administratives+et+financi%C3%A8res-fr = supersededTerm-admn-sts
Commission+%C3%A9thiopienne+d%E2%80%99aide+et+de+r%C3%A9habilitation-fr = supersededTerm-admn-sts
Convention+sur+la+dur%C3%A9e+du+travail+et+les+repos+%28transports+par+route%29%2C+1939-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+D+-+Justice+et+affaires+int%C3%A9rieures-fr = supersededTerm-admn-sts
EvaSan-fr = deprecatedTerm-admn-sts
Fonds+europ%C3%A9en+d%27orientation+et+de+garantie+agricole%2C+section+%22garantie%22-fr = supersededTerm-admn-sts
Groupe+directeur+I-fr = supersededTerm-admn-sts
Groupe+restreint+LGBT-fr = supersededTerm-admn-sts
Questions+politiques+g%C3%A9n%C3%A9rales+et+relations+interinstitutionnelles-fr = supersededTerm-admn-sts
RFID-fr = admittedTerm-admn-sts
TFP-fr = supersededTerm-admn-sts
Terrestrial+Trunked+Radio-fr = deprecatedTerm-admn-sts
accord+de+partenariat+%C3%A9conomique+d%27%C3%A9tape-fr = preferredTerm-admn-sts
appr%C3%A9ciation+de+la+situation-fr = preferredTerm-admn-sts
attestation+CE+de+type-fr = supersededTerm-admn-sts
bases+de+l%27%C3%A9conomie-fr = preferredTerm-admn-sts
bouletteux-fr = admittedTerm-admn-sts
clone+animal-fr = preferredTerm-admn-sts
comit%C3%A9+de+suivi+UE-Br%C3%A9sil-fr = supersededTerm-admn-sts
cr%C3%A9dit+renouvelable-fr = preferredTerm-admn-sts
d%C3%A9carbonation-fr = preferredTerm-admn-sts
enqu%C3%AAte-fr = supersededTerm-admn-sts
gestion+au+plus+juste-fr = preferredTerm-admn-sts
gestion+directe-fr = preferredTerm-admn-sts
gouvernement+g%C3%A9n%C3%A9ral-fr = deprecatedTerm-admn-sts
groupe+d%27%C3%A9tude+permanent+sur+la+s%C3%A9curit%C3%A9+alimentaire-fr = supersededTerm-admn-sts
infraction-fr = preferredTerm-admn-sts
march%C3%A9+des+capitaux-fr = admittedTerm-admn-sts
pr%C3%A9sentation+aux+urgences+hospitali%C3%A8res-fr = deprecatedTerm-admn-sts
pulv%C3%A9risateur+va-et-vient-fr = deprecatedTerm-admn-sts
rapport+annuel+global+sur+la+PESD+et+la+formation+dans+le+domaine+de+la+PESD-fr = supersededTerm-admn-sts
repr%C3%A9sentant+am%C3%A9ricain+au+commerce-fr = preferredTerm-admn-sts
s%C3%A9jour+n%27exc%C3%A9dant+pas+trois+mois-fr = admittedTerm-admn-sts
v%C3%A9g%C3%A9talien+int%C3%A9gral-fr = preferredTerm-admn-sts
Comit%C3%A9+d%27Oxford+de+secours+contre+la+famine-fr = supersededTerm-admn-sts
Comit%C3%A9+de+l%27article+133+%28Membres+titulaires%29-fr = supersededTerm-admn-sts
Comit%C3%A9+international+rom-fr = supersededTerm-admn-sts
Comit%C3%A9+pour+le+secteur+des+directives+relatives+%C3%A0+la+s%C3%A9curit%C3%A9+des+jouets-fr = deprecatedTerm-admn-sts
Convention+sur+l%27abolition+des+sanctions+p%C3%A9nales+%28travailleurs+indig%C3%A8nes%29%2C+1955-fr = supersededTerm-admn-sts
DG+Emploi+et+affaires+sociales-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+du+contr%C3%B4le+financier-fr = supersededTerm-admn-sts
Directive+relative+%C3%A0+des+normes+minimales+pour+l%27accueil+des+demandeurs+d%27asile-fr = supersededTerm-admn-sts
FUSLo-fr = supersededTerm-admn-sts
Groupe+%22R%C3%A9seau+judiciaire+europ%C3%A9en%22-fr = supersededTerm-admn-sts
Groupe+CONUN-fr = admittedTerm-admn-sts
Groupe+ad+hoc+%22Institut+europ%C3%A9en+de+technologie+%28IET%29%22-fr = supersededTerm-admn-sts
IFMI-fr = supersededTerm-admn-sts
PIGS-fr = deprecatedTerm-admn-sts
Secr%C3%A9tariat+r%C3%A9gional+de+d%C3%A9veloppement+urbain-fr = supersededTerm-admn-sts
Union+nationale+des+f%C3%A9d%C3%A9rations+d%27organismes+d%27habitations+%C3%A0+loyer+mod%C3%A9r%C3%A9-fr = supersededTerm-admn-sts
abstention+constructive-fr = preferredTerm-admn-sts
affaiblissement+acoustique-fr = preferredTerm-admn-sts
autorit%C3%A9+europ%C3%A9enne+de+surveillance-fr = preferredTerm-admn-sts
charge+de+polluant-fr = admittedTerm-admn-sts
