%C3%A5bne+og+bekr%C3%A6ftede+remburser+med+kort+l%C3%B8betid-da = preferredTerm-admn-sts
avanceret+status-da = preferredTerm-admn-sts
den+enkle+risikov%C3%A6gt-metode-da = preferredTerm-admn-sts
den+forbedring+af+kreditkvaliteten%2C+som+s%C3%A6lger+st%C3%A5r+for-da = deprecatedTerm-admn-sts
europ%C3%A6isk+afg%C3%B8relse-da = supersededTerm-admn-sts
europ%C3%A6isk+volont%C3%B8rtjenesteordning-da = supersededTerm-admn-sts
f%C3%A6lles+europ%C3%A6isk+sikkerheds-+og+forsvarspolitik-da = supersededTerm-admn-sts
facilitet-ratingklasse-da = preferredTerm-admn-sts
har+samme+egenskab-da = preferredTerm-admn-sts
ikkeg%C3%A6ldsbaseret+engagement-da = deprecatedTerm-admn-sts
implantabel+anordning-da = deprecatedTerm-admn-sts
indeks+for+et+bedre+liv-da = preferredTerm-admn-sts
indt%C3%A6gter+fra+sikkerhedsstillelsen-da = deprecatedTerm-admn-sts
infektion+med+avi%C3%A6r+influenza-virus-da = preferredTerm-admn-sts
krisebaseret+oml%C3%A6gning+af+aktierne-da = preferredTerm-admn-sts
kurv+af+aktier-da = preferredTerm-admn-sts
medlem+af+Kommissionen+for+De+Europ%C3%A6iske+F%C3%A6llesskaber-da = supersededTerm-admn-sts
modificeret+behandling+af+positioner+i+guld-da = preferredTerm-admn-sts
modpartens+misligholdelsesrisiko-da = preferredTerm-admn-sts
mulighed+for+varig+skade+p%C3%A5+helbred-da = supersededTerm-admn-sts
oligophrenia+phenylpyrouvica-da = supersededTerm-admn-sts
protokol+om+integration+af+Schengenreglerne+i+Den+Europ%C3%A6iske+Union-da = supersededTerm-admn-sts
protokol+vedr%C3%B8rende+statutten+for+Domstolen-da = supersededTerm-admn-sts
ramme+for+performance%2C+overv%C3%A5gning+og+evaluering-da = preferredTerm-admn-sts
skovforringelse-da = preferredTerm-admn-sts
sm%C3%A5gris-da = deprecatedTerm-admn-sts
specialiseret+l%C3%A5ngivning-da = preferredTerm-admn-sts
supplerende+egenkapital-da = supersededTerm-admn-sts
to+elementer-da = deprecatedTerm-admn-sts
udkast+til+resolution-da = preferredTerm-admn-sts
ununnilium-da = supersededTerm-admn-sts
volieresystem-da = deprecatedTerm-admn-sts
%22front+office%22-da = deprecatedTerm-admn-sts
%28Hvis+eksponeringen+er+efterstillet%2C%29+men+garantien+ikke+er%2C+kan+LGD+for+ikke+efterstillede+eksponeringer+%28anvendes+for+den+d%C3%A6kkede+del+af+eksponeringen.%29-da = preferredTerm-admn-sts
%C3%A6g+fra+voliereh%C3%B8nsehold-da = deprecatedTerm-admn-sts
EF-f%C3%A6llesm%C3%A6rke-da = supersededTerm-admn-sts
EU-agenturet+for+samarbejde+og+uddannelse+inden+for+retsh%C3%A5ndh%C3%A6velse-da = supersededTerm-admn-sts
Gruppen+vedr%C3%B8rende+Finansielle+Tjenesteydelser+%28hvidvaskning+af+penge%29-da = supersededTerm-admn-sts
Schengenevalueringsmekanisme-da = preferredTerm-admn-sts
St%C3%B8ttekontoret+for+Sammenslutningen+af+Europ%C3%A6iske+Tilsynsmyndigheder+inden+for+Elektronisk+Kommunikation-da = supersededTerm-admn-sts
afpr%C3%B8vningsb%C3%A6nk-da = deprecatedTerm-admn-sts
aktieposition-da = deprecatedTerm-admn-sts
aldersfordeling+af+fordringer-da = deprecatedTerm-admn-sts
anerkendt+clearingorganisation-da = deprecatedTerm-admn-sts
anordning+til+selvpr%C3%B8vning-da = deprecatedTerm-admn-sts
f%C3%A6llesskabsretten-da = supersededTerm-admn-sts
ikke-afh%C3%A6ndet+securitisationsposition-da = deprecatedTerm-admn-sts
ikke-pekuni%C3%A6rt+instrument-da = preferredTerm-admn-sts
international+adf%C3%A6rdskodeks+mod+spredning+af+ballistiske+missiler-da = supersededTerm-admn-sts
interne+tabsdata-da = preferredTerm-admn-sts
klorundersyrling-da = supersededTerm-admn-sts
konventionen+om+svig-da = admittedTerm-admn-sts
kortfristede+kredittilsagn-da = deprecatedTerm-admn-sts
kreditrisikoengagement-da = deprecatedTerm-admn-sts
l%2BC92%C3%A5ntagernes+risiko-da = deprecatedTerm-admn-sts
om+afvikling%2C+hvis+givne+betingelser+er+ikke+er+opfyldt-da = preferredTerm-admn-sts
retsforf%C3%B8lge+garantistilleren+for+skyldige+bel%C3%B8b-da = deprecatedTerm-admn-sts
risiko+ved+pludselig+misligholdels-da = preferredTerm-admn-sts
t%C3%A6ndt+tilstand-da = deprecatedTerm-admn-sts
trafikoverv%C3%A5gnings-+og+trafikinformationssystem+for+skibsfarten+i+F%C3%A6llesskabet-da = supersededTerm-admn-sts
volatilitetsjusteret+v%C3%A6rdi+af+engagementet-da = deprecatedTerm-admn-sts
De+Franske+Besiddelser+i+Det+Sydlige+Indiske+Ocean+og+Antarktis-da = preferredTerm-admn-sts
Den+Europ%C3%A6iske+Transportministerkonference-da = supersededTerm-admn-sts
EF-rammebestemmelser+for+statsst%C3%B8tte+i+landbrugssektoren-da = supersededTerm-admn-sts
European+Treaty+Series-da = supersededTerm-admn-sts
OPEC%27s+s%C3%A6rlige+fond-da = supersededTerm-admn-sts
Sikkerhedsudvalget+%28Infosec+-+kvalificerede+evalueringsmyndigheder+%28AQUAs%29%29-da = supersededTerm-admn-sts
belarussisk+rubel-da = supersededTerm-admn-sts
bygningskulturdag-da = supersededTerm-admn-sts
det+europ%C3%A6iske+overv%C3%A5gningssystem+for+antimikrobiel+resistens-da = supersededTerm-admn-sts
diversificering-da = preferredTerm-admn-sts
eka-guld-da = supersededTerm-admn-sts
f%C3%A6llesskabsvarer-da = supersededTerm-admn-sts
fjerkr%C3%A6pest-da = supersededTerm-admn-sts
forventet+engagement-da = deprecatedTerm-admn-sts
infektion+med+Aujeszkys+sygdom-virus-da = preferredTerm-admn-sts
international+menneskerettighedsret-da = deprecatedTerm-admn-sts
konvertering+af+forretningsomr%C3%A5der-da = deprecatedTerm-admn-sts
kortfristet+engagement-da = deprecatedTerm-admn-sts
metoden+med+interne+ratings-da = deprecatedTerm-admn-sts
migration+mellem+ratingklasser-da = preferredTerm-admn-sts
operationel+mangel-da = deprecatedTerm-admn-sts
perfluoreret+carbonhydrid-da = deprecatedTerm-admn-sts
princippet+om+demokratisk+lighed-da = deprecatedTerm-admn-sts
realiseret+markedsv%C3%A6rdi-da = preferredTerm-admn-sts
regulerede+kollektive+investeringsforetagender-da = deprecatedTerm-admn-sts
s%C3%A5+lavt%2C+som+det+med+rimelighed+er+opn%C3%A5eligt-da = preferredTerm-admn-sts
securitiseringspositions+poster-da = preferredTerm-admn-sts
stillet+position-da = preferredTerm-admn-sts
tabelmetoden+af+volatilitetsjusteringer-da = preferredTerm-admn-sts
tilsides%C3%A6tte-da = deprecatedTerm-admn-sts
udl%C3%B8sende+v%C3%A6rdi+for+nedtrapning-da = deprecatedTerm-admn-sts
%C3%B8vrige+reservefonde-da = deprecatedTerm-admn-sts
APU-da = preferredTerm-admn-sts
Artikel+36-Udvalget+i+trojkasammens%C3%A6tning-da = supersededTerm-admn-sts
BRIKS-landene-da = preferredTerm-admn-sts
CDS-da = supersededTerm-admn-sts
EU-agentur+for+menneskerettigheder+og+demokrati-da = supersededTerm-admn-sts
R%C3%A5det+%28transport+og+telekommunikation%29-da = supersededTerm-admn-sts
TEF-da = supersededTerm-admn-sts
Udvalget+for+Milj%C3%B8venligt+Design+af+Energiforbrugende+Produkter-da = supersededTerm-admn-sts
VFR-flyvning+om+dagen-da = preferredTerm-admn-sts
bakteriel+nyresyge-da = preferredTerm-admn-sts
europ%C3%A6isk+lov-da = supersededTerm-admn-sts
faktisk+l%C3%A5neperiode-da = deprecatedTerm-admn-sts
finansieringsfacilitet+for+risikodeling-da = deprecatedTerm-admn-sts
fuldt+justerede+st%C3%B8rrelse+af+eksponeringen-da = preferredTerm-admn-sts
ikke-efterstillede+usikrede+eksponeringer-da = preferredTerm-admn-sts
infektion+med+Marteilia+refringens-da = preferredTerm-admn-sts
infektion+med+Rift+Valley-feber-virus-da = preferredTerm-admn-sts
interinstitutionel+aftale+om+bedre+regulering-da = supersededTerm-admn-sts
koncerninterne+mellemv%C3%A6render-da = preferredTerm-admn-sts
kundebetjening-da = preferredTerm-admn-sts
l%C3%A5ngivning-da = deprecatedTerm-admn-sts
lease+et+aktiv-da = preferredTerm-admn-sts
m%C3%A5l+for+b%C3%A6redygtig+udvikling-da = preferredTerm-admn-sts
miltbrand-da = preferredTerm-admn-sts
perchlorethylen-da = supersededTerm-admn-sts
registrerede+oms%C3%A6tning-da = deprecatedTerm-admn-sts
samlet+kort+%C3%A5ben+valutaposition-da = deprecatedTerm-admn-sts
securitiseringsposition+i+securitiseringen-da = preferredTerm-admn-sts
sui+generis-afg%C3%B8relse-da = supersededTerm-admn-sts
tredjelandsstatsborger-da = preferredTerm-admn-sts
uforholdsm%C3%A6ssigt+stort+spread+niveau-da = deprecatedTerm-admn-sts
underklorsyrling-da = supersededTerm-admn-sts
unnilennium-da = supersededTerm-admn-sts
vanadin-da = supersededTerm-admn-sts
Artikel+36-Udvalget-da = supersededTerm-admn-sts
Atomgruppen+%28Ad+hoc-gruppen+vedr%C3%B8rende+Nuklear+Sikkerhed%29-da = supersededTerm-admn-sts
C%C3%B4te+d%27Ivoire-da = supersededTerm-admn-sts
DF-da = deprecatedTerm-admn-sts
Den+Videnskabelige+Komit%C3%A9+for+L%C3%A6gemidler+og+Medicinske+Anordninger-da = deprecatedTerm-admn-sts
EF-Domstolen-da = supersededTerm-admn-sts
FTI-da = supersededTerm-admn-sts
GD+for+Udvikling+og+Samarbejde+-+EuropeAid-da = supersededTerm-admn-sts
IAM-da = supersededTerm-admn-sts
Myanmar%2FBurma-da = preferredTerm-admn-sts
Styringsgruppe+III-da = supersededTerm-admn-sts
TEN-T+EA-da = supersededTerm-admn-sts
afd%C3%A6kket+engagement-da = deprecatedTerm-admn-sts
avlshingst-da = preferredTerm-admn-sts
back+office+funktion-da = preferredTerm-admn-sts
ikke-kontrolleret+f%C3%B8rtidsindfrielsesbestemmelse-da = deprecatedTerm-admn-sts
introduktion+af+skadeg%C3%B8rere+p%C3%A5+planter+eller+planteprodukter-da = preferredTerm-admn-sts
juridisk+sprogekspert-da = supersededTerm-admn-sts
kr%C3%A6vet+forretningsgang+til+inddrivelse-da = preferredTerm-admn-sts
modgarantiens+d%C3%A6kning-da = deprecatedTerm-admn-sts
mulighed+for+g%C3%A6ldsafvikling-da = deprecatedTerm-admn-sts
natronsalpeter-da = supersededTerm-admn-sts
ny+influenza-da = admittedTerm-admn-sts
performance-%2C+overv%C3%A5gnings-+og+evalueringsramme-da = preferredTerm-admn-sts
positioner+i+form+af+kreditforbedringsarrangementer-da = preferredTerm-admn-sts
protokol+om+Det+Forenede+Kongeriges+og+Irlands+stilling-da = supersededTerm-admn-sts
rabat+til+Det+Forenede+Kongerige-da = admittedTerm-admn-sts
rangordning+af+trancher-da = preferredTerm-admn-sts
skifte-da = supersededTerm-admn-sts
skrabe%C3%A6g-da = preferredTerm-admn-sts
skriftlige+politikker+og+forretningsgange-da = preferredTerm-admn-sts
tablet-da = preferredTerm-admn-sts
tilgodehavender+hos+kunder-da = deprecatedTerm-admn-sts
Den+Europ%C3%A6iske+Unions+mission+vedr%C3%B8rende+regional+fl%C3%A5dekapacitetsopbygning+p%C3%A5+Afrikas+Horn-da = supersededTerm-admn-sts
EU%27s+Situationscenter-da = supersededTerm-admn-sts
EU-program+for+social+udvikling+og+innovation-da = supersededTerm-admn-sts
Socialforskningsinstituttet-da = supersededTerm-admn-sts
Udvalget+om+betalings-+og+clearingssystemer+under+G-10-landenes+centralbanker-da = supersededTerm-admn-sts
afh%C3%A6nde+den+p%C3%A5g%C3%A6ldende+sikkerhed-da = preferredTerm-admn-sts
brucellose-da = preferredTerm-admn-sts
budgetsamr%C3%A5d-da = supersededTerm-admn-sts
engagement+i+et+ABCP-program-da = deprecatedTerm-admn-sts
f%C3%B8rste+aftalte+forfaldsdag-da = preferredTerm-admn-sts
fastlagt+k%C3%B8bsfacilitet-da = deprecatedTerm-admn-sts
ikke-afd%C3%A6kket+del+af+engagementet-da = deprecatedTerm-admn-sts
ikkev%C3%A6sentlig+bestemmelse-da = preferredTerm-admn-sts
leasingydelse-da = preferredTerm-admn-sts
misligholdte+engagementer-da = deprecatedTerm-admn-sts
nedrustningskomit%C3%A9-da = supersededTerm-admn-sts
privilegerede+engagementer+vedr%C3%B8rende+erhvervede+fordringer+p%C3%A5+selskaber-da = deprecatedTerm-admn-sts
skibsl%C3%B8ftev%C3%A6rk-da = deprecatedTerm-admn-sts
stats-+og+regeringschefer-da = preferredTerm-admn-sts
tab+p%C3%A5+revolverende+engagementer+med+kvalificerede+udstedere+p%C3%A5+detailmarkedet-da = deprecatedTerm-admn-sts
verdensomsp%C3%A6ndende+harmoniseret+pr%C3%B8vningsprocedure+for+lette+k%C3%B8ret%C3%B8jer-da = preferredTerm-admn-sts
%C3%98SU-da = supersededTerm-admn-sts
AACI-da = supersededTerm-admn-sts
Direktorat+2+-+Konkurrenceevne%2C+Lissabonstrategien%2C+industri%2C+forskning+%28EU-politikker%2C+herunder+deres+internationale+aspekter%29%2C+informationssamfundet+og+elektronisk+kommunikation-da = supersededTerm-admn-sts
EF-konstruktionsafpr%C3%B8vningsattest-da = supersededTerm-admn-sts
EIB%27s+klageadgang-da = supersededTerm-admn-sts
EU%27s+Efterretningsanalysecenter-da = supersededTerm-admn-sts
GD+for+Humanit%C3%A6r+Bistand+og+Civilbeskyttelse+%28ECHO%29-da = supersededTerm-admn-sts
GD+for+Regionalpolitik-da = supersededTerm-admn-sts
Organisationen+for+den+Islamiske+Konference-da = supersededTerm-admn-sts
Republikken+Ungarn-da = supersededTerm-admn-sts
Samr%C3%A5dsudvalget-da = supersededTerm-admn-sts
applikation+for+integreret+forvaltning+af+tilbagesendelser-da = supersededTerm-admn-sts
begr%C3%A6nsninger+med+hensyn+til+forsikringspolicernes+d%C3%A6kning-da = preferredTerm-admn-sts
beregning+af+de+fremtidige+tabsprocenter-da = deprecatedTerm-admn-sts
e-bogs-l%C3%A6ser-da = deprecatedTerm-admn-sts
forholdsm%C3%A6ssig+beskyttelse-da = deprecatedTerm-admn-sts
genbos%C3%A6tning-da = preferredTerm-admn-sts
husmand-da = supersededTerm-admn-sts
hydroenergi-da = deprecatedTerm-admn-sts
ikke-afh%C3%A6ndet+%22first+loss%22+-position-da = deprecatedTerm-admn-sts
individuelle+modparter+i+pujlen-da = preferredTerm-admn-sts
indt%C3%A6gter+fra+ekstraordin%C3%A6re+eller+uregelm%C3%A6ssige+poster-da = deprecatedTerm-admn-sts
konsoliderende+tilsynsmyndighed-da = preferredTerm-admn-sts
mexicansk+influenzavirus-da = deprecatedTerm-admn-sts
portugisisk+pighaj-da = supersededTerm-admn-sts
positioner%2C+der+uds%C3%A6ttes+for+pludselige+prisudsving-da = deprecatedTerm-admn-sts
protokol+om+%C3%A6ndring+af+aftalen+om+statslige+indk%C3%B8b-da = supersededTerm-admn-sts
rated+post-da = deprecatedTerm-admn-sts
refinansiering+af+l%C3%A5n-da = deprecatedTerm-admn-sts
revolverende+delportef%C3%B8ljer+med+kvalificerede+udstedere-da = deprecatedTerm-admn-sts
revolverende+detailengagement-da = deprecatedTerm-admn-sts
talkum-da = preferredTerm-admn-sts
udbyggede+metode+for+finansielle+sikkerheder-da = preferredTerm-admn-sts
%22jump-to-default%22-risiko-da = deprecatedTerm-admn-sts
E473-da = preferredTerm-admn-sts
Klima%C3%A6ndringer%2C+koordination+og+horisontale+sp%C3%B8rgsm%C3%A5l-da = supersededTerm-admn-sts
Selskabsretsgruppen+%28regnskaber%29-da = supersededTerm-admn-sts
akkumuleret+effektiv+dosis-da = preferredTerm-admn-sts
befuldm%C3%A6gtiget+europ%C3%A6isk+anklager-da = supersededTerm-admn-sts
blandede+puljer+af+sikkerheder-da = preferredTerm-admn-sts
den+avancerede+m%C3%A5lemetode-da = preferredTerm-admn-sts
gensidig+indl%C3%A5n-da = preferredTerm-admn-sts
ikke-aktiepositioner-da = deprecatedTerm-admn-sts
katalog+over+grundl%C3%A6ggende+rettigheder-da = preferredTerm-admn-sts
kodeks+om+statslige+indk%C3%B8b-da = deprecatedTerm-admn-sts
landespecifik+henstilling-da = preferredTerm-admn-sts
natriumpolyphosphat-da = preferredTerm-admn-sts
opg%C3%B8relse+af+kapitalkrav+for+operationelle+risiko-da = preferredTerm-admn-sts
pro+rata-eksponering+mod+de+securitiserede+eksponeringer-da = preferredTerm-admn-sts
regionalt+r%C3%A5dgivende+r%C3%A5d-da = supersededTerm-admn-sts
samlet+lang+%C3%A5ben+valutaposition-da = deprecatedTerm-admn-sts
samv%C3%A6rskonventionen-da = deprecatedTerm-admn-sts
separat+kapitalomkostning-da = deprecatedTerm-admn-sts
titandioxid-da = preferredTerm-admn-sts
udviklingen+i+aldersfordeling+af+fordringer-da = preferredTerm-admn-sts
vaccinationsd%C3%A6kning-da = preferredTerm-admn-sts
DEFI-da = supersededTerm-admn-sts
EF-lovgiver-da = supersededTerm-admn-sts
EF-typeafpr%C3%B8vning-da = supersededTerm-admn-sts
EF-typeattest-da = supersededTerm-admn-sts
EU+COPPS-da = supersededTerm-admn-sts
Forvaltningskomit%C3%A9en+for+den+F%C3%A6lles+Markedsordning+for+Landbrugsprodukter-da = supersededTerm-admn-sts
Generaldirektoratet+for+Retlige+Anliggender%2C+Frihed+og+Sikkerhed-da = supersededTerm-admn-sts
Gruppen+vedr%C3%B8rende+Elektronisk+Kommunikation-da = supersededTerm-admn-sts
Gruppen+vedr%C3%B8rende+S%C3%A6rlige+Planteprodukter+og+Spindfibre+%28bomuld%29-da = supersededTerm-admn-sts
Gruppen+vedr%C3%B8rende+Teknisk+Harmonisering+%28kosmetiske+produkter%29-da = supersededTerm-admn-sts
Ligaen+af+R%C3%B8de+Kors-Selskaber+og+R%C3%B8de+Halvm%C3%A5ne-Selskaber-da = supersededTerm-admn-sts
R%C3%A5det+%28landbrug%29-da = supersededTerm-admn-sts
Relexgruppen-da = supersededTerm-admn-sts
Udvidelsesgruppen-da = supersededTerm-admn-sts
afvige+fra-da = preferredTerm-admn-sts
attest+for+samlet+kaution-da = supersededTerm-admn-sts
beskyttede+eksponering-da = preferredTerm-admn-sts
beslutning-da = supersededTerm-admn-sts
betaling+af+renter+og+hovedstol-da = deprecatedTerm-admn-sts
bortfald+af+arveretten+p%C3%A5+grund+af+en+handling-da = preferredTerm-admn-sts
erhvervede+fordringer+p%C3%A5+selskaber-da = deprecatedTerm-admn-sts
fenacetin-da = supersededTerm-admn-sts
forbundet+selskab-da = preferredTerm-admn-sts
forretningsbankydelser-da = deprecatedTerm-admn-sts
fortabes%2BC661+i+tilf%C3%A6lde+af+modpartens+misligholdelse-da = deprecatedTerm-admn-sts
forventet+eksponering-da = preferredTerm-admn-sts
fysisk+sikkerhedsstillelse-da = deprecatedTerm-admn-sts
infektion+med+Perkinsus+marinus-da = preferredTerm-admn-sts
kontrolleret+mulighed+for+f%C3%B8rtidsindfrielse-da = preferredTerm-admn-sts
kv%C3%A6lstof-da = supersededTerm-admn-sts
l%C3%A5ntager%2C+der+er+i+restance-da = deprecatedTerm-admn-sts
medicinsk+specialitet-da = supersededTerm-admn-sts
negativ+markeds%C3%A6ndring-da = deprecatedTerm-admn-sts
opg%C3%B8relse+af+eksponering+og+tab-da = preferredTerm-admn-sts
privilegeret+engagement+uden+anerkendt+sikkerhedsstillelse-da = deprecatedTerm-admn-sts
radikal-da = supersededTerm-admn-sts
realiseret+eksponeringsprofil-da = preferredTerm-admn-sts
tier+1-kapitalprocent-da = deprecatedTerm-admn-sts
tilbageholdt+securitiseringsposition-da = preferredTerm-admn-sts
ETMK-da = supersededTerm-admn-sts
SAI-da = supersededTerm-admn-sts
aktiepositionsklassen-da = deprecatedTerm-admn-sts
bestemmelser%2C+der+direkte+indvirker+p%C3%A5+f%C3%A6llesmarkedets+funktion-da = supersededTerm-admn-sts
betaling+forfalder-da = deprecatedTerm-admn-sts
blandede+puljer+af+sikkerhedsstillelse-da = deprecatedTerm-admn-sts
den+interregionale+gruppe+%22Nords%C3%B8en%22-da = supersededTerm-admn-sts
forrang+til+provenuet+fra+sikkerheden-da = preferredTerm-admn-sts
hjemmehj%C3%A6lp-da = admittedTerm-admn-sts
indl%C3%A5n+i+kontanter%2BC228-da = deprecatedTerm-admn-sts
infektion+med+kv%C3%A6gpestvirus-da = preferredTerm-admn-sts
kreditrisikobegr%C3%A6nsende+virkning-da = deprecatedTerm-admn-sts
l%C3%A5neklausuler+%28covenants%29-da = preferredTerm-admn-sts
markeder+hvor+der+kan+handles-da = preferredTerm-admn-sts
markedsbidrag-da = deprecatedTerm-admn-sts
modpart-ratingskala-da = preferredTerm-admn-sts
oph%C3%B8rer+med+at+indt%C3%A6gtsf%C3%B8re+p%C3%A5l%C3%B8bne+renter+p%C3%A5+g%C3%A6ldsforpligtigelsen-da = preferredTerm-admn-sts
portef%C3%B8ljers+diversifikation-da = preferredTerm-admn-sts
rapport+om+effekten+af+udtalelserne-da = admittedTerm-admn-sts
resum%C3%A9+til+borgerne-da = supersededTerm-admn-sts
risiko%2C+der+ligger+forud+for+kredittens+begyndelsestidspunkt-da = preferredTerm-admn-sts
risikopulje-da = deprecatedTerm-admn-sts
samme+rang-da = preferredTerm-admn-sts
smitsom+svinelammelse-da = preferredTerm-admn-sts
underliggende+modparter-da = preferredTerm-admn-sts
Airports+Association+Council+International+-+European+Region-da = supersededTerm-admn-sts
Airports+Association+Council+International-da = supersededTerm-admn-sts
Artikel+133-Udvalget+%28eksperter%29+%28STIS%2C+tjenesteydelser+og+gensidig+anerkendelse%29-da = supersededTerm-admn-sts
Den+Internationale+Kommission+for+Beskyttelse+af+Rhinen+mod+Forurening-da = supersededTerm-admn-sts
Direktoratet+for+Personale+og+Interne+Tjenester-da = supersededTerm-admn-sts
Direktoratet+for+Protokol+og+Konferencer-da = supersededTerm-admn-sts
ETRS89-da = preferredTerm-admn-sts
Gruppen+%22Krise+i+bilindustrien%22-da = supersededTerm-admn-sts
Kontoret+for+Harmonisering+i+det+Indre+Marked+%28Varem%C3%A6rker+og+Design%29-da = supersededTerm-admn-sts
NCE-behandling-da = supersededTerm-admn-sts
R%C3%A5dssekretariatets+Sikkerhedskontor-da = supersededTerm-admn-sts
TIR-transport-da = deprecatedTerm-admn-sts
ansvarlig+fremmedkapital-da = preferredTerm-admn-sts
balanceringsenergi-da = preferredTerm-admn-sts
dato+for+mindste+holdbarhed-da = deprecatedTerm-admn-sts
delkonsolideret+grundlag-da = supersededTerm-admn-sts
eksternt+genereret+indeks-da = deprecatedTerm-admn-sts
enkelte+engagementer+i+puljen-da = deprecatedTerm-admn-sts
facilitet+med+kontant+forskud-da = deprecatedTerm-admn-sts
forsigtighedsbaseret+v%C3%A6rdians%C3%A6ttelsesmetode-da = deprecatedTerm-admn-sts
forsikring+gennem+kontrollerede+og+tilknyttede+selskaber-da = deprecatedTerm-admn-sts
g%C3%A6ldsinstrumenter+udstedt+af+institutter-da = preferredTerm-admn-sts
gruppen+af+de+otte-da = supersededTerm-admn-sts
havets+goder+og+ydelser-da = preferredTerm-admn-sts
hydatidose-da = preferredTerm-admn-sts
institut+for+konjunkturforskning-da = supersededTerm-admn-sts
institutionelle+instrumenter%2C+der+genk%C3%B8bes+p%C3%A5+anmodning-da = deprecatedTerm-admn-sts
kapitalkrav+for+specifik+risiko-da = preferredTerm-admn-sts
kreditgivningspolitik-da = preferredTerm-admn-sts
kunne+ubetinget+opsiges+uden+varsel-da = preferredTerm-admn-sts
kurchatovium-da = supersededTerm-admn-sts
levende+syn+p%C3%A5+slagteri-da = admittedTerm-admn-sts
lokalt+konsul%C3%A6rt+samarbejde+p%C3%A5+visumomr%C3%A5det-da = supersededTerm-admn-sts
luftfartstjeneste-da = preferredTerm-admn-sts
maksimalt+forventet+eksponering-da = preferredTerm-admn-sts
overdrage+en+forpligtelse-da = deprecatedTerm-admn-sts
ratingskala+for+faciliteter%2C+der+indg%C3%A5r+i+et+ratingsystem-da = deprecatedTerm-admn-sts
regulerede+kollektive+investeringsordninger-da = preferredTerm-admn-sts
risikov%C3%A6gtningsgruppe-da = deprecatedTerm-admn-sts
sodamid-da = deprecatedTerm-admn-sts
summen+af+korte+%C3%A5bne+valutapositioner-da = preferredTerm-admn-sts
till%C3%A6gge+risikov%C3%A6gt-da = deprecatedTerm-admn-sts
uretm%C3%A6ssigt+forbundet-da = deprecatedTerm-admn-sts
vejledning+om+yderligere+kapitalgrundlag-da = preferredTerm-admn-sts
vurdering+af+kapitalgrundlag-da = deprecatedTerm-admn-sts
%C3%A6gtebarn-da = supersededTerm-admn-sts
%C3%A9tnetsregel-da = preferredTerm-admn-sts
Arbejdsmarkedsobservatoriet-da = preferredTerm-admn-sts
Den+Parlamentariske+Forsamling+for+Euro-Middelhavs-Omr%C3%A5det-da = supersededTerm-admn-sts
Den+R%C3%A5dgivende+Gruppe+for+Energi-+og+Nonfoodafgr%C3%B8der-da = supersededTerm-admn-sts
Det+Europ%C3%A6iske+Politiakademi-da = supersededTerm-admn-sts
Det+Europ%C3%A6iske+R%C3%A5dgivende+Udvalg+for+F%C3%A6llesskabets+Politik+for+Statistisk+Information-da = supersededTerm-admn-sts
Direktorat+1+-+Asyl%2C+visum%2C+indvandring%2C+gr%C3%A6nser%2C+Schengen-da = supersededTerm-admn-sts
Generaldirektoratet+for+Forskning-da = supersededTerm-admn-sts
Gruppen+vedr%C3%B8rende+Tarifsp%C3%B8rgsm%C3%A5l+af+%C3%98konomisk+Art-da = supersededTerm-admn-sts
Nordisk+Vejteknisk+Forbund-da = supersededTerm-admn-sts
anordning+til+tiltr%C3%A6kning+af+fisk-da = preferredTerm-admn-sts
dekommissionering-da = preferredTerm-admn-sts
eksponeringsklasse-da = preferredTerm-admn-sts
erhvervede+efterstillede+erhvervsfordringer-da = preferredTerm-admn-sts
finansiel+virksomheder-da = deprecatedTerm-admn-sts
forbundne+foretagender-da = preferredTerm-admn-sts
forvaltningsinstitut-da = deprecatedTerm-admn-sts
k%C3%B8beren+af+risiko-da = preferredTerm-admn-sts
komitologiforordning-da = deprecatedTerm-admn-sts
kontantindskud+hos+tredjepart-da = preferredTerm-admn-sts
krav+med+hensyn+til+modpartskreditrisici+uden+for+handelsbeholdningen-da = deprecatedTerm-admn-sts
kreditirisiko+ved+eksponeringer+mod+centrale+modparter-da = preferredTerm-admn-sts
modeloutput-da = deprecatedTerm-admn-sts
modpart%2C+der+har+misligholdt-da = preferredTerm-admn-sts
modpart%2C+som+der+er+indg%C3%A5et+margenaftale+med-da = deprecatedTerm-admn-sts
privilegeret+position-da = deprecatedTerm-admn-sts
programmet+ren+luft+i+Europa-da = supersededTerm-admn-sts
protokol+om+institutionerne+i+perspektivet+af+en+udvidelse+af+Den+Europ%C3%A6iske+Union-da = supersededTerm-admn-sts
rense-da = preferredTerm-admn-sts
ununquadium-da = supersededTerm-admn-sts
%22wrong-way%22+-risikoengagementer-da = deprecatedTerm-admn-sts
%28som+udl%C3%B8ses%29+hvis+mer-spreadet+%28falder%E2%80%A6%29-da = preferredTerm-admn-sts
CCA-da = supersededTerm-admn-sts
ESMA-da = preferredTerm-admn-sts
EU%27s+klassificerede+oplysninger-da = supersededTerm-admn-sts
EU-datakommiss%C3%A6rernes+politisamarbejdsgruppe-da = supersededTerm-admn-sts
EUNAVFOR+MED-da = supersededTerm-admn-sts
EuropeAid-da = supersededTerm-admn-sts
Forvaltningsorganet+for+Forbrugere%2C+Sundhed+og+F%C3%B8devarer-da = supersededTerm-admn-sts
